,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.441,0.963,4,-5.105,0,0.235,0.000829,0.273,0.387,0.34,84.675,audio_features,0DYehrr1jrV8iSuHtr8CBb,spotify:track:0DYehrr1jrV8iSuHtr8CBb,https://api.spotify.com/v1/tracks/0DYehrr1jrV8iSuHtr8CBb,https://api.spotify.com/v1/audio-analysis/0DYehrr1jrV8iSuHtr8CBb,232187,4
1,0.538,0.674,11,-7.572,1,0.0869,0.201,7.42e-05,0.376,0.251,47.477,audio_features,1ZAHBS5hjX3RmZOFa9V82Q,spotify:track:1ZAHBS5hjX3RmZOFa9V82Q,https://api.spotify.com/v1/tracks/1ZAHBS5hjX3RmZOFa9V82Q,https://api.spotify.com/v1/audio-analysis/1ZAHBS5hjX3RmZOFa9V82Q,232490,4
2,0.737,0.73,2,-3.498,1,0.145,0.131,0.0,0.0735,0.67,87.207,audio_features,4ufZpjNv71NMj2m1JVniyW,spotify:track:4ufZpjNv71NMj2m1JVniyW,https://api.spotify.com/v1/tracks/4ufZpjNv71NMj2m1JVniyW,https://api.spotify.com/v1/audio-analysis/4ufZpjNv71NMj2m1JVniyW,184453,4
3,0.336,0.843,6,-2.923,1,0.0866,0.164,0.0,0.145,0.325,96.653,audio_features,6DjV3ev7xNw8y0iwkiTAp9,spotify:track:6DjV3ev7xNw8y0iwkiTAp9,https://api.spotify.com/v1/tracks/6DjV3ev7xNw8y0iwkiTAp9,https://api.spotify.com/v1/audio-analysis/6DjV3ev7xNw8y0iwkiTAp9,189103,5
4,0.769,0.833,0,-4.976,1,0.0353,0.0761,0.0502,0.114,0.304,114.981,audio_features,317zQvAdVYKiH8KBRkVoaC,spotify:track:317zQvAdVYKiH8KBRkVoaC,https://api.spotify.com/v1/tracks/317zQvAdVYKiH8KBRkVoaC,https://api.spotify.com/v1/audio-analysis/317zQvAdVYKiH8KBRkVoaC,241105,4
5,0.365,0.413,0,-7.369,0,0.0507,0.103,3.13e-05,0.103,0.125,84.746,audio_features,4Q5yMlwAfAoitqg4r9oZHN,spotify:track:4Q5yMlwAfAoitqg4r9oZHN,https://api.spotify.com/v1/tracks/4Q5yMlwAfAoitqg4r9oZHN,https://api.spotify.com/v1/audio-analysis/4Q5yMlwAfAoitqg4r9oZHN,258188,3
6,0.902,0.673,4,-7.481,1,0.458,0.159,0.0,0.289,0.615,132.066,audio_features,3tcoEYOZUHKB3RKNByIN13,spotify:track:3tcoEYOZUHKB3RKNByIN13,https://api.spotify.com/v1/tracks/3tcoEYOZUHKB3RKNByIN13,https://api.spotify.com/v1/audio-analysis/3tcoEYOZUHKB3RKNByIN13,177048,4
7,0.319,0.00784,10,-25.791,1,0.0468,0.968,1.16e-05,0.11,0.0741,136.953,audio_features,2j0fnQgZlvjUFAnhCIY2FP,spotify:track:2j0fnQgZlvjUFAnhCIY2FP,https://api.spotify.com/v1/tracks/2j0fnQgZlvjUFAnhCIY2FP,https://api.spotify.com/v1/audio-analysis/2j0fnQgZlvjUFAnhCIY2FP,295274,4
8,0.446,0.872,3,-5.444,1,0.0516,0.00846,0.0,0.0966,0.326,141.87,audio_features,7DrjvBmNghqrDwQ7MDejDC,spotify:track:7DrjvBmNghqrDwQ7MDejDC,https://api.spotify.com/v1/tracks/7DrjvBmNghqrDwQ7MDejDC,https://api.spotify.com/v1/audio-analysis/7DrjvBmNghqrDwQ7MDejDC,227973,4
9,0.492,0.547,6,-8.955,0,0.0401,0.052,1.56e-05,0.0863,0.246,119.563,audio_features,6oNZ4fZ9N7IL4tcaibIX9p,spotify:track:6oNZ4fZ9N7IL4tcaibIX9p,https://api.spotify.com/v1/tracks/6oNZ4fZ9N7IL4tcaibIX9p,https://api.spotify.com/v1/audio-analysis/6oNZ4fZ9N7IL4tcaibIX9p,245337,4
10,0.835,0.692,10,-6.514,0,0.114,0.248,0.000161,0.295,0.829,108.296,audio_features,7tMCIOFe99cWEYr21wfsDp,spotify:track:7tMCIOFe99cWEYr21wfsDp,https://api.spotify.com/v1/tracks/7tMCIOFe99cWEYr21wfsDp,https://api.spotify.com/v1/audio-analysis/7tMCIOFe99cWEYr21wfsDp,315840,4
11,0.817,0.747,1,-3.047,1,0.0625,0.043,0.0,0.0601,0.618,103.026,audio_features,2fRojxstKd6Tz9VziOeo9n,spotify:track:2fRojxstKd6Tz9VziOeo9n,https://api.spotify.com/v1/tracks/2fRojxstKd6Tz9VziOeo9n,https://api.spotify.com/v1/audio-analysis/2fRojxstKd6Tz9VziOeo9n,200170,4
12,0.687,0.646,1,-13.639,1,0.0462,0.421,0.41,0.362,0.571,113.993,audio_features,46LwAOzg3UYvxiXyyaFedz,spotify:track:46LwAOzg3UYvxiXyyaFedz,https://api.spotify.com/v1/tracks/46LwAOzg3UYvxiXyyaFedz,https://api.spotify.com/v1/audio-analysis/46LwAOzg3UYvxiXyyaFedz,296227,4
13,0.668,0.64,5,-6.983,1,0.258,0.0939,0.0,0.273,0.625,87.03,audio_features,0NL2jw2IAe2y7pMTyEAaob,spotify:track:0NL2jw2IAe2y7pMTyEAaob,https://api.spotify.com/v1/tracks/0NL2jw2IAe2y7pMTyEAaob,https://api.spotify.com/v1/audio-analysis/0NL2jw2IAe2y7pMTyEAaob,235625,4
14,0.82,0.499,5,-9.813,1,0.0659,0.00671,0.000266,0.0669,0.885,148.565,audio_features,60zX4sLQdchuhi72TgmbKk,spotify:track:60zX4sLQdchuhi72TgmbKk,https://api.spotify.com/v1/tracks/60zX4sLQdchuhi72TgmbKk,https://api.spotify.com/v1/audio-analysis/60zX4sLQdchuhi72TgmbKk,385187,4
