,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.386,0.949,11,-3.44,0,0.111,0.000272,0.0,0.0673,0.234,159.979,audio_features,0FCDmdIBEHcYlqKyXEtT4j,spotify:track:0FCDmdIBEHcYlqKyXEtT4j,https://api.spotify.com/v1/tracks/0FCDmdIBEHcYlqKyXEtT4j,https://api.spotify.com/v1/audio-analysis/0FCDmdIBEHcYlqKyXEtT4j,255453,4
1,0.57,0.58,1,-5.547,1,0.21,0.0124,0.0,0.0498,0.404,171.812,audio_features,5W7xC99N2Zzfh69r7I7zWK,spotify:track:5W7xC99N2Zzfh69r7I7zWK,https://api.spotify.com/v1/tracks/5W7xC99N2Zzfh69r7I7zWK,https://api.spotify.com/v1/audio-analysis/5W7xC99N2Zzfh69r7I7zWK,270627,4
2,0.391,0.979,6,-3.991,0,0.293,0.00613,0.0,0.351,0.466,180.173,audio_features,0LHfkmGjbr3z2jge14xwkv,spotify:track:0LHfkmGjbr3z2jge14xwkv,https://api.spotify.com/v1/tracks/0LHfkmGjbr3z2jge14xwkv,https://api.spotify.com/v1/audio-analysis/0LHfkmGjbr3z2jge14xwkv,203128,4
3,0.48,0.621,4,-4.814,1,0.0372,0.206,0.0,0.134,0.713,207.676,audio_features,5wZv3YevrrMZBlNrUTI4Yd,spotify:track:5wZv3YevrrMZBlNrUTI4Yd,https://api.spotify.com/v1/tracks/5wZv3YevrrMZBlNrUTI4Yd,https://api.spotify.com/v1/audio-analysis/5wZv3YevrrMZBlNrUTI4Yd,237120,4
4,0.336,0.239,10,-6.747,0,0.0324,0.797,0.0,0.102,0.256,88.836,audio_features,6O9RpkU0AJTGuRSSAFyZBR,spotify:track:6O9RpkU0AJTGuRSSAFyZBR,https://api.spotify.com/v1/tracks/6O9RpkU0AJTGuRSSAFyZBR,https://api.spotify.com/v1/audio-analysis/6O9RpkU0AJTGuRSSAFyZBR,187346,5
5,0.749,0.988,0,-5.266,0,0.0387,0.202,0.00631,0.17,0.749,135.015,audio_features,74jTexO94dFGyXGyeu8krd,spotify:track:74jTexO94dFGyXGyeu8krd,https://api.spotify.com/v1/tracks/74jTexO94dFGyXGyeu8krd,https://api.spotify.com/v1/audio-analysis/74jTexO94dFGyXGyeu8krd,221187,4
6,0.54,0.737,10,-7.411,0,0.548,0.116,0.0,0.15,0.823,76.167,audio_features,7GTQgSPs8BYbn3YbmS78N8,spotify:track:7GTQgSPs8BYbn3YbmS78N8,https://api.spotify.com/v1/tracks/7GTQgSPs8BYbn3YbmS78N8,https://api.spotify.com/v1/audio-analysis/7GTQgSPs8BYbn3YbmS78N8,267453,4
7,0.585,0.868,2,-6.345,1,0.0279,0.122,0.446,0.356,0.739,120.697,audio_features,3msjDgdfwJ0Qcv2tXoisNN,spotify:track:3msjDgdfwJ0Qcv2tXoisNN,https://api.spotify.com/v1/tracks/3msjDgdfwJ0Qcv2tXoisNN,https://api.spotify.com/v1/audio-analysis/3msjDgdfwJ0Qcv2tXoisNN,195960,3
8,0.603,0.536,7,-12.824,1,0.817,0.573,0.0,0.185,0.833,81.038,audio_features,0AA9pjIXbHuQdSfQoNKJVg,spotify:track:0AA9pjIXbHuQdSfQoNKJVg,https://api.spotify.com/v1/tracks/0AA9pjIXbHuQdSfQoNKJVg,https://api.spotify.com/v1/audio-analysis/0AA9pjIXbHuQdSfQoNKJVg,16000,3
9,0.838,0.678,11,-5.183,0,0.0762,0.154,2.16e-06,0.18,0.887,89.011,audio_features,3pk19nKnFSl9E4X7gqq10A,spotify:track:3pk19nKnFSl9E4X7gqq10A,https://api.spotify.com/v1/tracks/3pk19nKnFSl9E4X7gqq10A,https://api.spotify.com/v1/audio-analysis/3pk19nKnFSl9E4X7gqq10A,210827,4
