,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.587,0.852,8,-8.486,0,0.511,0.0161,0.0,0.351,0.602,125.214,audio_features,0vXBmeXvI35qGAGlfGGy0i,spotify:track:0vXBmeXvI35qGAGlfGGy0i,https://api.spotify.com/v1/tracks/0vXBmeXvI35qGAGlfGGy0i,https://api.spotify.com/v1/audio-analysis/0vXBmeXvI35qGAGlfGGy0i,272667,5
1,0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,audio_features,4so0Wek9Ig1p6CRCHuINwW,spotify:track:4so0Wek9Ig1p6CRCHuINwW,https://api.spotify.com/v1/tracks/4so0Wek9Ig1p6CRCHuINwW,https://api.spotify.com/v1/audio-analysis/4so0Wek9Ig1p6CRCHuINwW,177480,3
2,0.541,0.401,0,-10.499,1,0.0365,0.576,0.0,0.164,0.24,152.943,audio_features,31er9IGsfFbwqy1pH4aiTP,spotify:track:31er9IGsfFbwqy1pH4aiTP,https://api.spotify.com/v1/tracks/31er9IGsfFbwqy1pH4aiTP,https://api.spotify.com/v1/audio-analysis/31er9IGsfFbwqy1pH4aiTP,289160,3
3,0.537,0.456,5,-13.394,1,0.029,0.614,4.66e-05,0.785,0.239,125.437,audio_features,3IUhtGHt58LVPzEc44K0Hz,spotify:track:3IUhtGHt58LVPzEc44K0Hz,https://api.spotify.com/v1/tracks/3IUhtGHt58LVPzEc44K0Hz,https://api.spotify.com/v1/audio-analysis/3IUhtGHt58LVPzEc44K0Hz,143773,4
4,0.614,0.897,9,-5.81,1,0.0441,0.000815,5.82e-05,0.369,0.626,97.579,audio_features,0h3wPTk3pKrFELoDFahRel,spotify:track:0h3wPTk3pKrFELoDFahRel,https://api.spotify.com/v1/tracks/0h3wPTk3pKrFELoDFahRel,https://api.spotify.com/v1/audio-analysis/0h3wPTk3pKrFELoDFahRel,328080,4
5,0.773,0.564,1,-7.241,1,0.249,0.00561,1.99e-05,0.213,0.0588,155.976,audio_features,1MQ8ydvrTnn2QJgXFATJvD,spotify:track:1MQ8ydvrTnn2QJgXFATJvD,https://api.spotify.com/v1/tracks/1MQ8ydvrTnn2QJgXFATJvD,https://api.spotify.com/v1/audio-analysis/1MQ8ydvrTnn2QJgXFATJvD,211960,4
6,0.459,0.958,6,-2.333,1,0.0877,0.0283,0.0,0.108,0.586,142.707,audio_features,249Z7XT6mf8B2zuI0RaeS0,spotify:track:249Z7XT6mf8B2zuI0RaeS0,https://api.spotify.com/v1/tracks/249Z7XT6mf8B2zuI0RaeS0,https://api.spotify.com/v1/audio-analysis/249Z7XT6mf8B2zuI0RaeS0,211333,4
7,0.629,0.864,9,-7.561,1,0.034,0.112,0.247,0.648,0.958,123.325,audio_features,4es5wreov9D4Y4fXLGZkuB,spotify:track:4es5wreov9D4Y4fXLGZkuB,https://api.spotify.com/v1/tracks/4es5wreov9D4Y4fXLGZkuB,https://api.spotify.com/v1/audio-analysis/4es5wreov9D4Y4fXLGZkuB,242080,4
8,0.762,0.511,10,-10.162,0,0.363,0.0447,1.07e-06,0.0958,0.176,120.045,audio_features,5jZL5k5Ee3lsQOzwgfNguy,spotify:track:5jZL5k5Ee3lsQOzwgfNguy,https://api.spotify.com/v1/tracks/5jZL5k5Ee3lsQOzwgfNguy,https://api.spotify.com/v1/audio-analysis/5jZL5k5Ee3lsQOzwgfNguy,243176,4
9,0.27,0.197,2,-12.822,1,0.0367,0.622,1.44e-06,0.0981,0.12,137.707,audio_features,0n00hhNhSmJMiFTvQwuIzD,spotify:track:0n00hhNhSmJMiFTvQwuIzD,https://api.spotify.com/v1/tracks/0n00hhNhSmJMiFTvQwuIzD,https://api.spotify.com/v1/audio-analysis/0n00hhNhSmJMiFTvQwuIzD,253240,4
10,0.319,0.781,5,-3.496,1,0.0329,0.0013,0.0,0.0944,0.238,149.002,audio_features,2M865AmlL0eQkQRdaF8lJU,spotify:track:2M865AmlL0eQkQRdaF8lJU,https://api.spotify.com/v1/tracks/2M865AmlL0eQkQRdaF8lJU,https://api.spotify.com/v1/audio-analysis/2M865AmlL0eQkQRdaF8lJU,253600,3
11,0.5,0.885,4,-9.198,0,0.0316,0.00166,0.000273,0.072,0.943,169.172,audio_features,3MNh4vrnk7CE5qz24QyR9j,spotify:track:3MNh4vrnk7CE5qz24QyR9j,https://api.spotify.com/v1/tracks/3MNh4vrnk7CE5qz24QyR9j,https://api.spotify.com/v1/audio-analysis/3MNh4vrnk7CE5qz24QyR9j,259573,4
12,0.671,0.836,5,-3.245,0,0.108,0.00734,0.0359,0.24,0.635,128.037,audio_features,5wcIS7DYEEfZQKRiqMOAZX,spotify:track:5wcIS7DYEEfZQKRiqMOAZX,https://api.spotify.com/v1/tracks/5wcIS7DYEEfZQKRiqMOAZX,https://api.spotify.com/v1/audio-analysis/5wcIS7DYEEfZQKRiqMOAZX,276533,4
