,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.596,0.557,0,-6.401,1,0.0299,0.027,1.64e-05,0.0914,0.314,124.023,audio_features,2XvrMHbSO077Ajg7QTTNdY,spotify:track:2XvrMHbSO077Ajg7QTTNdY,https://api.spotify.com/v1/tracks/2XvrMHbSO077Ajg7QTTNdY,https://api.spotify.com/v1/audio-analysis/2XvrMHbSO077Ajg7QTTNdY,244960,4
1,0.86,0.546,2,-6.447,1,0.0775,0.00892,0.812,0.145,0.165,136.961,audio_features,2Ey4ub4XHxBYAkOsBXI6gk,spotify:track:2Ey4ub4XHxBYAkOsBXI6gk,https://api.spotify.com/v1/tracks/2Ey4ub4XHxBYAkOsBXI6gk,https://api.spotify.com/v1/audio-analysis/2Ey4ub4XHxBYAkOsBXI6gk,259318,4
2,0.603,0.324,7,-9.712,1,0.0306,0.6,0.0,0.136,0.406,92.639,audio_features,7l3GzL9RDP1V00mGmren3S,spotify:track:7l3GzL9RDP1V00mGmren3S,https://api.spotify.com/v1/tracks/7l3GzL9RDP1V00mGmren3S,https://api.spotify.com/v1/audio-analysis/7l3GzL9RDP1V00mGmren3S,255242,4
3,0.631,0.728,6,-5.111,1,0.284,0.0511,0.0,0.171,0.395,139.977,audio_features,08eReCl8B3bV1GA247IGc2,spotify:track:08eReCl8B3bV1GA247IGc2,https://api.spotify.com/v1/tracks/08eReCl8B3bV1GA247IGc2,https://api.spotify.com/v1/audio-analysis/08eReCl8B3bV1GA247IGc2,274992,4
4,0.752,0.543,1,-9.483,1,0.0398,0.623,0.0706,0.107,0.282,126.001,audio_features,044qU7kwVZaDwzWnRsmVVL,spotify:track:044qU7kwVZaDwzWnRsmVVL,https://api.spotify.com/v1/tracks/044qU7kwVZaDwzWnRsmVVL,https://api.spotify.com/v1/audio-analysis/044qU7kwVZaDwzWnRsmVVL,233280,4
5,0.607,0.142,7,-23.455,1,0.0382,0.843,0.000197,0.121,0.305,118.867,audio_features,4K1imZQQ0yKtJ40vGmUajS,spotify:track:4K1imZQQ0yKtJ40vGmUajS,https://api.spotify.com/v1/tracks/4K1imZQQ0yKtJ40vGmUajS,https://api.spotify.com/v1/audio-analysis/4K1imZQQ0yKtJ40vGmUajS,220400,4
6,0.647,0.891,1,-3.065,1,0.272,0.215,0.0,0.212,0.53,91.111,audio_features,1WcQ6epJR20iJtLeXpLfeP,spotify:track:1WcQ6epJR20iJtLeXpLfeP,https://api.spotify.com/v1/tracks/1WcQ6epJR20iJtLeXpLfeP,https://api.spotify.com/v1/audio-analysis/1WcQ6epJR20iJtLeXpLfeP,235907,4
7,0.588,0.699,9,-9.379,0,0.0392,0.736,6.72e-05,0.332,0.885,88.805,audio_features,5D9PjCTUz7gojSCmvV5sRO,spotify:track:5D9PjCTUz7gojSCmvV5sRO,https://api.spotify.com/v1/tracks/5D9PjCTUz7gojSCmvV5sRO,https://api.spotify.com/v1/audio-analysis/5D9PjCTUz7gojSCmvV5sRO,248067,4
8,0.236,0.799,4,-5.167,0,0.0939,0.0136,0.0,0.0948,0.303,208.951,audio_features,0Zh3tKIphLOvQux4dA6PFZ,spotify:track:0Zh3tKIphLOvQux4dA6PFZ,https://api.spotify.com/v1/tracks/0Zh3tKIphLOvQux4dA6PFZ,https://api.spotify.com/v1/audio-analysis/0Zh3tKIphLOvQux4dA6PFZ,279027,4
9,0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109,audio_features,612VcBshQcy4mpB2utGc3H,spotify:track:612VcBshQcy4mpB2utGc3H,https://api.spotify.com/v1/tracks/612VcBshQcy4mpB2utGc3H,https://api.spotify.com/v1/audio-analysis/612VcBshQcy4mpB2utGc3H,280000,4
10,0.683,0.762,0,-5.534,1,0.0453,0.244,0.0,0.0695,0.404,100.036,audio_features,4EcI8QxKCNpFpt5CUfUowi,spotify:track:4EcI8QxKCNpFpt5CUfUowi,https://api.spotify.com/v1/tracks/4EcI8QxKCNpFpt5CUfUowi,https://api.spotify.com/v1/audio-analysis/4EcI8QxKCNpFpt5CUfUowi,175856,4
11,0.517,0.446,5,-5.344,1,0.0324,0.748,0.0,0.0914,0.532,71.633,audio_features,3BGNdJigkDQsuz5zJuz1SD,spotify:track:3BGNdJigkDQsuz5zJuz1SD,https://api.spotify.com/v1/tracks/3BGNdJigkDQsuz5zJuz1SD,https://api.spotify.com/v1/audio-analysis/3BGNdJigkDQsuz5zJuz1SD,200417,4
12,0.594,0.865,0,-3.838,0,0.032,0.00402,0.0,0.233,0.681,135.034,audio_features,3yrxwUdln8yhqeoyZQ8BGd,spotify:track:3yrxwUdln8yhqeoyZQ8BGd,https://api.spotify.com/v1/tracks/3yrxwUdln8yhqeoyZQ8BGd,https://api.spotify.com/v1/audio-analysis/3yrxwUdln8yhqeoyZQ8BGd,196080,4
13,0.59,0.765,11,-5.685,0,0.149,0.0121,0.0,0.493,0.595,147.934,audio_features,05c6dW6jQY0NqMev1bR7WF,spotify:track:05c6dW6jQY0NqMev1bR7WF,https://api.spotify.com/v1/tracks/05c6dW6jQY0NqMev1bR7WF,https://api.spotify.com/v1/audio-analysis/05c6dW6jQY0NqMev1bR7WF,144324,4
14,0.886,0.573,2,-7.649,1,0.32,0.116,0.0,0.277,0.609,132.069,audio_features,7jgBTiVeF54ccOHGTBkibB,spotify:track:7jgBTiVeF54ccOHGTBkibB,https://api.spotify.com/v1/tracks/7jgBTiVeF54ccOHGTBkibB,https://api.spotify.com/v1/audio-analysis/7jgBTiVeF54ccOHGTBkibB,191160,4
15,0.627,0.614,6,-6.006,0,0.17,0.0211,0.0,0.0286,0.758,96.038,audio_features,4BycRneKmOs6MhYG9THsuX,spotify:track:4BycRneKmOs6MhYG9THsuX,https://api.spotify.com/v1/tracks/4BycRneKmOs6MhYG9THsuX,https://api.spotify.com/v1/audio-analysis/4BycRneKmOs6MhYG9THsuX,208947,4
16,0.378,0.894,5,-3.849,1,0.185,0.00777,0.0,0.199,0.542,107.398,audio_features,5LxxGTHz9hiX7Sy9Cs15fD,spotify:track:5LxxGTHz9hiX7Sy9Cs15fD,https://api.spotify.com/v1/tracks/5LxxGTHz9hiX7Sy9Cs15fD,https://api.spotify.com/v1/audio-analysis/5LxxGTHz9hiX7Sy9Cs15fD,231920,3
17,0.371,0.509,5,-8.989,0,0.0335,0.707,0.017,0.143,0.0834,84.955,audio_features,66PYBquIHm9AXSJqUxvqKe,spotify:track:66PYBquIHm9AXSJqUxvqKe,https://api.spotify.com/v1/tracks/66PYBquIHm9AXSJqUxvqKe,https://api.spotify.com/v1/audio-analysis/66PYBquIHm9AXSJqUxvqKe,277680,4
18,0.578,0.94,11,-3.83,0,0.0479,0.00223,0.00165,0.0915,0.607,126.138,audio_features,2bE6bIHyp8CJ5BosfRJxPo,spotify:track:2bE6bIHyp8CJ5BosfRJxPo,https://api.spotify.com/v1/tracks/2bE6bIHyp8CJ5BosfRJxPo,https://api.spotify.com/v1/audio-analysis/2bE6bIHyp8CJ5BosfRJxPo,218190,4
19,0.576,0.697,10,-4.192,1,0.326,0.0286,1.15e-06,0.167,0.501,175.906,audio_features,07lxDm1s8FVO4GF54Nooiz,spotify:track:07lxDm1s8FVO4GF54Nooiz,https://api.spotify.com/v1/tracks/07lxDm1s8FVO4GF54Nooiz,https://api.spotify.com/v1/audio-analysis/07lxDm1s8FVO4GF54Nooiz,227667,4
20,0.585,0.569,2,-3.4,1,0.0262,0.117,0.0,0.14,0.596,135.899,audio_features,6nvk0d8QlR91kecYzPnBhr,spotify:track:6nvk0d8QlR91kecYzPnBhr,https://api.spotify.com/v1/tracks/6nvk0d8QlR91kecYzPnBhr,https://api.spotify.com/v1/audio-analysis/6nvk0d8QlR91kecYzPnBhr,193973,4
21,0.744,0.8,6,-6.762,1,0.279,0.163,0.0,0.356,0.744,89.956,audio_features,7ne1N3PCqbsUrlQP6Xqjer,spotify:track:7ne1N3PCqbsUrlQP6Xqjer,https://api.spotify.com/v1/tracks/7ne1N3PCqbsUrlQP6Xqjer,https://api.spotify.com/v1/audio-analysis/7ne1N3PCqbsUrlQP6Xqjer,264107,4
