,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.69,0.76,0,-4.778,1,0.0587,0.0678,0.0,0.184,0.468,89.958,audio_features,1Ug1mV9h5qVSs4rvvnQWux,spotify:track:1Ug1mV9h5qVSs4rvvnQWux,https://api.spotify.com/v1/tracks/1Ug1mV9h5qVSs4rvvnQWux,https://api.spotify.com/v1/audio-analysis/1Ug1mV9h5qVSs4rvvnQWux,247933,4
1,0.603,0.846,0,-7.495,0,0.0318,0.00118,0.141,0.116,0.438,132.983,audio_features,3YqJlngd0Bx4zsqWkkaGSa,spotify:track:3YqJlngd0Bx4zsqWkkaGSa,https://api.spotify.com/v1/tracks/3YqJlngd0Bx4zsqWkkaGSa,https://api.spotify.com/v1/audio-analysis/3YqJlngd0Bx4zsqWkkaGSa,238720,4
2,0.293,0.303,9,-12.21,1,0.0294,0.867,0.338,0.0918,0.119,91.324,audio_features,1zNqZuksZQ9JlOlbXweXrr,spotify:track:1zNqZuksZQ9JlOlbXweXrr,https://api.spotify.com/v1/tracks/1zNqZuksZQ9JlOlbXweXrr,https://api.spotify.com/v1/audio-analysis/1zNqZuksZQ9JlOlbXweXrr,305573,4
3,0.666,0.303,11,-11.028,0,0.0356,0.841,0.000711,0.0971,0.342,81.923,audio_features,4bJbSERtCqK9D6DRUPMmMh,spotify:track:4bJbSERtCqK9D6DRUPMmMh,https://api.spotify.com/v1/tracks/4bJbSERtCqK9D6DRUPMmMh,https://api.spotify.com/v1/audio-analysis/4bJbSERtCqK9D6DRUPMmMh,212160,4
4,0.614,0.238,0,-10.347,1,0.0324,0.833,0.0,0.133,0.399,151.736,audio_features,3xffxf9Ne1sIbix22vuj94,spotify:track:3xffxf9Ne1sIbix22vuj94,https://api.spotify.com/v1/tracks/3xffxf9Ne1sIbix22vuj94,https://api.spotify.com/v1/audio-analysis/3xffxf9Ne1sIbix22vuj94,180200,4
5,0.66,0.798,6,-6.121,0,0.0273,0.12,0.239,0.227,0.732,118.003,audio_features,4uWFY0PPN7Z9dIwxoIuWRY,spotify:track:4uWFY0PPN7Z9dIwxoIuWRY,https://api.spotify.com/v1/tracks/4uWFY0PPN7Z9dIwxoIuWRY,https://api.spotify.com/v1/audio-analysis/4uWFY0PPN7Z9dIwxoIuWRY,366970,4
6,0.646,0.274,6,-10.062,1,0.0301,0.691,0.0,0.174,0.847,130.025,audio_features,3ahS3KCvUPpWfr4lIUlkel,spotify:track:3ahS3KCvUPpWfr4lIUlkel,https://api.spotify.com/v1/tracks/3ahS3KCvUPpWfr4lIUlkel,https://api.spotify.com/v1/audio-analysis/3ahS3KCvUPpWfr4lIUlkel,134333,4
7,0.537,0.829,9,-6.402,1,0.0319,0.0107,7.77e-06,0.283,0.196,118.015,audio_features,0SAMVmpmnbWl8lgp5VrCD0,spotify:track:0SAMVmpmnbWl8lgp5VrCD0,https://api.spotify.com/v1/tracks/0SAMVmpmnbWl8lgp5VrCD0,https://api.spotify.com/v1/audio-analysis/0SAMVmpmnbWl8lgp5VrCD0,260800,4
8,0.629,0.529,3,-7.657,1,0.0421,0.37,1.61e-06,0.154,0.198,128.082,audio_features,4uzaKmkExQmSM4ku8HmTxl,spotify:track:4uzaKmkExQmSM4ku8HmTxl,https://api.spotify.com/v1/tracks/4uzaKmkExQmSM4ku8HmTxl,https://api.spotify.com/v1/audio-analysis/4uzaKmkExQmSM4ku8HmTxl,200373,4
9,0.379,0.887,4,-4.767,1,0.0439,0.0138,0.0,0.341,0.563,162.077,audio_features,7nMP0EOcBnqT0J4oPGYQ2N,spotify:track:7nMP0EOcBnqT0J4oPGYQ2N,https://api.spotify.com/v1/tracks/7nMP0EOcBnqT0J4oPGYQ2N,https://api.spotify.com/v1/audio-analysis/7nMP0EOcBnqT0J4oPGYQ2N,298880,3
10,0.768,0.581,2,-8.542,1,0.127,0.00529,0.31,0.0714,0.62,82.414,audio_features,4qdUS2V7Bh93UWhObEwSnQ,spotify:track:4qdUS2V7Bh93UWhObEwSnQ,https://api.spotify.com/v1/tracks/4qdUS2V7Bh93UWhObEwSnQ,https://api.spotify.com/v1/audio-analysis/4qdUS2V7Bh93UWhObEwSnQ,299840,4
11,0.928,0.571,5,-7.848,0,0.0479,0.31,0.00189,0.0599,0.943,137.219,audio_features,6bhBA7qV1oDRjYRWM3lX4l,spotify:track:6bhBA7qV1oDRjYRWM3lX4l,https://api.spotify.com/v1/tracks/6bhBA7qV1oDRjYRWM3lX4l,https://api.spotify.com/v1/audio-analysis/6bhBA7qV1oDRjYRWM3lX4l,238453,4
12,0.586,0.887,2,-3.133,1,0.0912,0.00117,0.0,0.343,0.726,112.528,audio_features,3NZTq1UlkoDqx32zoLsSwH,spotify:track:3NZTq1UlkoDqx32zoLsSwH,https://api.spotify.com/v1/tracks/3NZTq1UlkoDqx32zoLsSwH,https://api.spotify.com/v1/audio-analysis/3NZTq1UlkoDqx32zoLsSwH,164440,4
