,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.644,0.891,6,-4.323,1,0.0429,0.00646,0.238,0.0768,0.795,129.998,audio_features,5rrhm3zGF2FnrdNEyB9f4c,spotify:track:5rrhm3zGF2FnrdNEyB9f4c,https://api.spotify.com/v1/tracks/5rrhm3zGF2FnrdNEyB9f4c,https://api.spotify.com/v1/audio-analysis/5rrhm3zGF2FnrdNEyB9f4c,242560,4
1,0.827,0.708,9,-6.965,1,0.0512,0.199,0.0,0.358,0.764,95.55,audio_features,4hd4x0iaXAQ2pIcyUgHB7h,spotify:track:4hd4x0iaXAQ2pIcyUgHB7h,https://api.spotify.com/v1/tracks/4hd4x0iaXAQ2pIcyUgHB7h,https://api.spotify.com/v1/audio-analysis/4hd4x0iaXAQ2pIcyUgHB7h,223653,4
2,0.793,0.366,7,-10.051,1,0.136,0.0214,0.0,0.0964,0.278,122.991,audio_features,2INqEk4ko5AsGVLBsiKiQe,spotify:track:2INqEk4ko5AsGVLBsiKiQe,https://api.spotify.com/v1/tracks/2INqEk4ko5AsGVLBsiKiQe,https://api.spotify.com/v1/audio-analysis/2INqEk4ko5AsGVLBsiKiQe,159522,4
3,0.681,0.836,0,-4.236,1,0.0477,0.109,0.0,0.0988,0.649,124.966,audio_features,0oZT2aKB40fzyHzqcXE3H3,spotify:track:0oZT2aKB40fzyHzqcXE3H3,https://api.spotify.com/v1/tracks/0oZT2aKB40fzyHzqcXE3H3,https://api.spotify.com/v1/audio-analysis/0oZT2aKB40fzyHzqcXE3H3,212893,4
4,0.484,0.914,9,-2.233,1,0.0509,0.00215,0.0,0.125,0.351,130.111,audio_features,1lctSfV3S405xVr0Xce2ur,spotify:track:1lctSfV3S405xVr0Xce2ur,https://api.spotify.com/v1/tracks/1lctSfV3S405xVr0Xce2ur,https://api.spotify.com/v1/audio-analysis/1lctSfV3S405xVr0Xce2ur,224427,4
5,0.785,0.802,7,-7.014,1,0.209,0.105,0.0,0.0499,0.895,90.027,audio_features,1n3Vmj2XehpOUuMgID478T,spotify:track:1n3Vmj2XehpOUuMgID478T,https://api.spotify.com/v1/tracks/1n3Vmj2XehpOUuMgID478T,https://api.spotify.com/v1/audio-analysis/1n3Vmj2XehpOUuMgID478T,181640,4
6,0.527,0.823,1,-5.174,1,0.078,0.0135,0.0,0.29,0.635,175.742,audio_features,1D8XLLL28tzQAlIlBwd4QM,spotify:track:1D8XLLL28tzQAlIlBwd4QM,https://api.spotify.com/v1/tracks/1D8XLLL28tzQAlIlBwd4QM,https://api.spotify.com/v1/audio-analysis/1D8XLLL28tzQAlIlBwd4QM,195678,4
7,0.532,0.182,7,-13.661,1,0.033,0.889,9.13e-05,0.0964,0.104,99.885,audio_features,1AxQUKuBCV6NdzftewO7SE,spotify:track:1AxQUKuBCV6NdzftewO7SE,https://api.spotify.com/v1/tracks/1AxQUKuBCV6NdzftewO7SE,https://api.spotify.com/v1/audio-analysis/1AxQUKuBCV6NdzftewO7SE,201038,4
8,0.56,0.926,9,-3.739,0,0.346,0.102,0.0,0.174,0.757,173.915,audio_features,2GJt9guKmZ6mquSia0BntZ,spotify:track:2GJt9guKmZ6mquSia0BntZ,https://api.spotify.com/v1/tracks/2GJt9guKmZ6mquSia0BntZ,https://api.spotify.com/v1/audio-analysis/2GJt9guKmZ6mquSia0BntZ,272933,4
9,0.336,0.318,0,-11.412,1,0.0263,0.317,0.0716,0.111,0.24,79.66,audio_features,3JLrri1xSCui3bzITDJbkk,spotify:track:3JLrri1xSCui3bzITDJbkk,https://api.spotify.com/v1/tracks/3JLrri1xSCui3bzITDJbkk,https://api.spotify.com/v1/audio-analysis/3JLrri1xSCui3bzITDJbkk,459094,4
