,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.511,0.821,7,-4.659,1,0.0274,0.00034,0.0,0.306,0.735,91.025,audio_features,1giySMOHPQMb1nD3s5OCTs,spotify:track:1giySMOHPQMb1nD3s5OCTs,https://api.spotify.com/v1/tracks/1giySMOHPQMb1nD3s5OCTs,https://api.spotify.com/v1/audio-analysis/1giySMOHPQMb1nD3s5OCTs,224640,4
1,0.65,0.772,1,-7.528,1,0.0494,0.0853,5.62e-06,0.0814,0.586,162.136,audio_features,1qJZ4aYAUeKkjDpjhb9TuN,spotify:track:1qJZ4aYAUeKkjDpjhb9TuN,https://api.spotify.com/v1/tracks/1qJZ4aYAUeKkjDpjhb9TuN,https://api.spotify.com/v1/audio-analysis/1qJZ4aYAUeKkjDpjhb9TuN,246450,4
2,0.387,0.646,0,-5.595,0,0.04,0.199,0.0,0.11,0.22,87.978,audio_features,2bvTjVL7DDO4lOOqzyd2H8,spotify:track:2bvTjVL7DDO4lOOqzyd2H8,https://api.spotify.com/v1/tracks/2bvTjVL7DDO4lOOqzyd2H8,https://api.spotify.com/v1/audio-analysis/2bvTjVL7DDO4lOOqzyd2H8,201818,4
3,0.775,0.748,1,-11.805,0,0.134,0.139,0.301,0.0299,0.621,117.957,audio_features,0O4weGa6HfefrVUBrFpY4j,spotify:track:0O4weGa6HfefrVUBrFpY4j,https://api.spotify.com/v1/tracks/0O4weGa6HfefrVUBrFpY4j,https://api.spotify.com/v1/audio-analysis/0O4weGa6HfefrVUBrFpY4j,322693,4
4,0.759,0.809,1,-7.886,0,0.293,0.0955,1.71e-06,0.35,0.508,86.848,audio_features,4M8SdMmrvx001Au6aZFchJ,spotify:track:4M8SdMmrvx001Au6aZFchJ,https://api.spotify.com/v1/tracks/4M8SdMmrvx001Au6aZFchJ,https://api.spotify.com/v1/audio-analysis/4M8SdMmrvx001Au6aZFchJ,220800,4
5,0.298,0.992,6,-3.454,1,0.153,0.000669,0.000225,0.172,0.234,110.687,audio_features,0cq8TZqpEzLxZ8mYnC0Fyo,spotify:track:0cq8TZqpEzLxZ8mYnC0Fyo,https://api.spotify.com/v1/tracks/0cq8TZqpEzLxZ8mYnC0Fyo,https://api.spotify.com/v1/audio-analysis/0cq8TZqpEzLxZ8mYnC0Fyo,258587,4
6,0.478,0.921,9,-6.315,1,0.0773,0.00919,0.159,0.0891,0.627,145.742,audio_features,4VSXCvqSezLdA8mMNIXq0F,spotify:track:4VSXCvqSezLdA8mMNIXq0F,https://api.spotify.com/v1/tracks/4VSXCvqSezLdA8mMNIXq0F,https://api.spotify.com/v1/audio-analysis/4VSXCvqSezLdA8mMNIXq0F,320973,4
7,0.635,0.454,0,-9.457,0,0.0393,0.417,4.02e-05,0.0816,0.531,79.097,audio_features,6kqXaZrIDOmA177KL9LHHf,spotify:track:6kqXaZrIDOmA177KL9LHHf,https://api.spotify.com/v1/tracks/6kqXaZrIDOmA177KL9LHHf,https://api.spotify.com/v1/audio-analysis/6kqXaZrIDOmA177KL9LHHf,280080,4
8,0.567,0.825,8,-5.324,0,0.0829,0.211,2.26e-06,0.342,0.102,128.027,audio_features,526JRJ6gBGXWPCc4iZgEGp,spotify:track:526JRJ6gBGXWPCc4iZgEGp,https://api.spotify.com/v1/tracks/526JRJ6gBGXWPCc4iZgEGp,https://api.spotify.com/v1/audio-analysis/526JRJ6gBGXWPCc4iZgEGp,232520,4
9,0.749,0.709,0,-7.995,1,0.0302,0.00247,0.000327,0.126,0.716,121.977,audio_features,2hzgBqHZphqsrLiHuwQipT,spotify:track:2hzgBqHZphqsrLiHuwQipT,https://api.spotify.com/v1/tracks/2hzgBqHZphqsrLiHuwQipT,https://api.spotify.com/v1/audio-analysis/2hzgBqHZphqsrLiHuwQipT,222211,4
