,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.531,0.118,9,-14.455,1,0.0444,0.983,0.0251,0.111,0.148,129.259,audio_features,2GSFSTeDDRw9WXpc63T6up,spotify:track:2GSFSTeDDRw9WXpc63T6up,https://api.spotify.com/v1/tracks/2GSFSTeDDRw9WXpc63T6up,https://api.spotify.com/v1/audio-analysis/2GSFSTeDDRw9WXpc63T6up,251587,4
1,0.652,0.447,0,-5.507,1,0.0287,0.257,0.0,0.253,0.234,126.905,audio_features,3K2oxUQxZTxjluEvk7eqXD,spotify:track:3K2oxUQxZTxjluEvk7eqXD,https://api.spotify.com/v1/tracks/3K2oxUQxZTxjluEvk7eqXD,https://api.spotify.com/v1/audio-analysis/3K2oxUQxZTxjluEvk7eqXD,250800,4
2,0.594,0.415,7,-6.99,1,0.0277,0.141,1.58e-06,0.105,0.205,138.032,audio_features,6uhkZFj3vzLY0FA9ONCM41,spotify:track:6uhkZFj3vzLY0FA9ONCM41,https://api.spotify.com/v1/tracks/6uhkZFj3vzLY0FA9ONCM41,https://api.spotify.com/v1/audio-analysis/6uhkZFj3vzLY0FA9ONCM41,229390,4
3,0.854,0.768,6,-4.086,1,0.339,0.0554,0.0,0.041,0.633,106.07,audio_features,14DwbS9OjC4E5Ar91vE787,spotify:track:14DwbS9OjC4E5Ar91vE787,https://api.spotify.com/v1/tracks/14DwbS9OjC4E5Ar91vE787,https://api.spotify.com/v1/audio-analysis/14DwbS9OjC4E5Ar91vE787,257067,4
4,0.387,0.994,8,-2.727,1,0.0578,0.000197,0.00106,0.341,0.734,168.019,audio_features,0HZ3FNizbBpdp38zrKhxHs,spotify:track:0HZ3FNizbBpdp38zrKhxHs,https://api.spotify.com/v1/tracks/0HZ3FNizbBpdp38zrKhxHs,https://api.spotify.com/v1/audio-analysis/0HZ3FNizbBpdp38zrKhxHs,199573,4
5,0.552,0.916,9,-4.434,1,0.0518,0.000823,1.22e-06,0.167,0.452,129.746,audio_features,3ZUswpQWAt8QMD8Mq3SjTw,spotify:track:3ZUswpQWAt8QMD8Mq3SjTw,https://api.spotify.com/v1/tracks/3ZUswpQWAt8QMD8Mq3SjTw,https://api.spotify.com/v1/audio-analysis/3ZUswpQWAt8QMD8Mq3SjTw,246147,4
6,0.758,0.465,7,-6.547,1,0.0374,0.489,5.13e-05,0.116,0.758,138.9,audio_features,5KsLlcmWDoHUoJFzRw14wD,spotify:track:5KsLlcmWDoHUoJFzRw14wD,https://api.spotify.com/v1/tracks/5KsLlcmWDoHUoJFzRw14wD,https://api.spotify.com/v1/audio-analysis/5KsLlcmWDoHUoJFzRw14wD,240627,4
7,0.799,0.623,0,-9.374,1,0.0812,0.0141,0.0,0.43,0.773,103.649,audio_features,6uQKuonTU8VKBz5SHZuQXD,spotify:track:6uQKuonTU8VKBz5SHZuQXD,https://api.spotify.com/v1/tracks/6uQKuonTU8VKBz5SHZuQXD,https://api.spotify.com/v1/audio-analysis/6uQKuonTU8VKBz5SHZuQXD,238800,4
8,0.557,0.942,5,-3.197,1,0.151,0.00527,0.00168,0.1,0.537,127.986,audio_features,1CavzSzBIn4S6FTEu0sRZF,spotify:track:1CavzSzBIn4S6FTEu0sRZF,https://api.spotify.com/v1/tracks/1CavzSzBIn4S6FTEu0sRZF,https://api.spotify.com/v1/audio-analysis/1CavzSzBIn4S6FTEu0sRZF,206176,4
9,0.466,0.767,0,-2.505,1,0.0282,0.0133,0.0,0.212,0.393,87.03,audio_features,3lwZZMsnoX96DKevLBrpYs,spotify:track:3lwZZMsnoX96DKevLBrpYs,https://api.spotify.com/v1/tracks/3lwZZMsnoX96DKevLBrpYs,https://api.spotify.com/v1/audio-analysis/3lwZZMsnoX96DKevLBrpYs,242187,3
10,0.509,0.675,5,-3.915,0,0.0419,0.286,0.000313,0.114,0.289,125.002,audio_features,7e7hic6gtPVhOrVVIZMIWr,spotify:track:7e7hic6gtPVhOrVVIZMIWr,https://api.spotify.com/v1/tracks/7e7hic6gtPVhOrVVIZMIWr,https://api.spotify.com/v1/audio-analysis/7e7hic6gtPVhOrVVIZMIWr,218907,4
11,0.433,0.935,9,-1.454,1,0.0569,0.0037,0.0,0.097,0.54,122.964,audio_features,2mFncVSEIqGzG392uxMK4m,spotify:track:2mFncVSEIqGzG392uxMK4m,https://api.spotify.com/v1/tracks/2mFncVSEIqGzG392uxMK4m,https://api.spotify.com/v1/audio-analysis/2mFncVSEIqGzG392uxMK4m,235547,4
12,0.604,0.43,7,-13.575,1,0.032,0.0546,0.0,0.0977,0.644,68.257,audio_features,7MJe06aTq57id8qtb1s2du,spotify:track:7MJe06aTq57id8qtb1s2du,https://api.spotify.com/v1/tracks/7MJe06aTq57id8qtb1s2du,https://api.spotify.com/v1/audio-analysis/7MJe06aTq57id8qtb1s2du,160400,4
13,0.405,0.721,1,-6.97,1,0.283,0.329,0.0,0.252,0.815,92.854,audio_features,3QnEp4rluCxUwgpXT43jmC,spotify:track:3QnEp4rluCxUwgpXT43jmC,https://api.spotify.com/v1/tracks/3QnEp4rluCxUwgpXT43jmC,https://api.spotify.com/v1/audio-analysis/3QnEp4rluCxUwgpXT43jmC,280680,4
14,0.58,0.796,4,-7.303,1,0.0428,0.000245,0.849,0.173,0.154,118.99,audio_features,0ma6IAmnvlik8oxgf8HUQg,spotify:track:0ma6IAmnvlik8oxgf8HUQg,https://api.spotify.com/v1/tracks/0ma6IAmnvlik8oxgf8HUQg,https://api.spotify.com/v1/audio-analysis/0ma6IAmnvlik8oxgf8HUQg,311490,4
15,0.628,0.902,4,-6.804,1,0.0366,0.018,1e-05,0.0845,0.381,98.029,audio_features,5wrv1lbmLFHynisWY4Tphm,spotify:track:5wrv1lbmLFHynisWY4Tphm,https://api.spotify.com/v1/tracks/5wrv1lbmLFHynisWY4Tphm,https://api.spotify.com/v1/audio-analysis/5wrv1lbmLFHynisWY4Tphm,228375,4
16,0.713,0.864,11,-4.994,0,0.0746,0.0187,0.0,0.722,0.568,122.019,audio_features,3VxKUr7XgTGxFRvOd8blov,spotify:track:3VxKUr7XgTGxFRvOd8blov,https://api.spotify.com/v1/tracks/3VxKUr7XgTGxFRvOd8blov,https://api.spotify.com/v1/audio-analysis/3VxKUr7XgTGxFRvOd8blov,221820,4
17,0.575,0.919,10,-5.422,0,0.116,0.00164,1.18e-05,0.089,0.329,127.925,audio_features,1PmoJ2OQ9ik2FkqgSEMVZF,spotify:track:1PmoJ2OQ9ik2FkqgSEMVZF,https://api.spotify.com/v1/tracks/1PmoJ2OQ9ik2FkqgSEMVZF,https://api.spotify.com/v1/audio-analysis/1PmoJ2OQ9ik2FkqgSEMVZF,262171,4
18,0.689,0.586,6,-7.61,1,0.107,0.241,0.0,0.356,0.611,93.02,audio_features,2QWP8NYYplOqEFBYGCcq0S,spotify:track:2QWP8NYYplOqEFBYGCcq0S,https://api.spotify.com/v1/tracks/2QWP8NYYplOqEFBYGCcq0S,https://api.spotify.com/v1/audio-analysis/2QWP8NYYplOqEFBYGCcq0S,209347,4
19,0.579,0.544,9,-5.193,1,0.352,0.292,7.41e-05,0.282,0.365,93.562,audio_features,3RKblQNJs8HPvWBgXmq6nn,spotify:track:3RKblQNJs8HPvWBgXmq6nn,https://api.spotify.com/v1/tracks/3RKblQNJs8HPvWBgXmq6nn,https://api.spotify.com/v1/audio-analysis/3RKblQNJs8HPvWBgXmq6nn,178040,4
20,0.257,0.805,7,-7.025,1,0.0559,0.0081,0.494,0.357,0.39,175.251,audio_features,2FbmJu9obAOMB3PCv2oic7,spotify:track:2FbmJu9obAOMB3PCv2oic7,https://api.spotify.com/v1/tracks/2FbmJu9obAOMB3PCv2oic7,https://api.spotify.com/v1/audio-analysis/2FbmJu9obAOMB3PCv2oic7,256909,4
21,0.69,0.453,4,-6.457,0,0.0765,0.529,1.16e-06,0.12,0.9,169.075,audio_features,4NNeOXK4X9nJLarQ1qc1L8,spotify:track:4NNeOXK4X9nJLarQ1qc1L8,https://api.spotify.com/v1/tracks/4NNeOXK4X9nJLarQ1qc1L8,https://api.spotify.com/v1/audio-analysis/4NNeOXK4X9nJLarQ1qc1L8,196680,3
22,0.736,0.741,8,-3.857,0,0.292,0.0645,0.0,0.137,0.579,92.65,audio_features,21AlMs9z1sGHnGdWFA7Lm5,spotify:track:21AlMs9z1sGHnGdWFA7Lm5,https://api.spotify.com/v1/tracks/21AlMs9z1sGHnGdWFA7Lm5,https://api.spotify.com/v1/audio-analysis/21AlMs9z1sGHnGdWFA7Lm5,248867,4
23,0.453,0.681,5,-6.166,0,0.044,0.372,0.00717,0.217,0.37,206.73,audio_features,50SIcPYb3sCrKweC6C4BQC,spotify:track:50SIcPYb3sCrKweC6C4BQC,https://api.spotify.com/v1/tracks/50SIcPYb3sCrKweC6C4BQC,https://api.spotify.com/v1/audio-analysis/50SIcPYb3sCrKweC6C4BQC,229120,4
24,0.509,0.819,7,-4.523,1,0.0571,0.0918,0.00125,0.0932,0.203,112.036,audio_features,0qGGlFDT2Z86JEoMhAFgHh,spotify:track:0qGGlFDT2Z86JEoMhAFgHh,https://api.spotify.com/v1/tracks/0qGGlFDT2Z86JEoMhAFgHh,https://api.spotify.com/v1/audio-analysis/0qGGlFDT2Z86JEoMhAFgHh,301880,4
25,0.72,0.5,2,-6.231,1,0.036,0.12,1.34e-05,0.177,0.818,93.846,audio_features,3V93vALCQ6b5hhQxKuAmK5,spotify:track:3V93vALCQ6b5hhQxKuAmK5,https://api.spotify.com/v1/tracks/3V93vALCQ6b5hhQxKuAmK5,https://api.spotify.com/v1/audio-analysis/3V93vALCQ6b5hhQxKuAmK5,249613,4
26,0.768,0.46,0,-6.664,0,0.04,0.275,6.33e-05,0.0774,0.829,92.013,audio_features,3HluMKZ9c4avNaPDP3ewWP,spotify:track:3HluMKZ9c4avNaPDP3ewWP,https://api.spotify.com/v1/tracks/3HluMKZ9c4avNaPDP3ewWP,https://api.spotify.com/v1/audio-analysis/3HluMKZ9c4avNaPDP3ewWP,221766,4
27,0.798,0.794,1,-5.637,1,0.044,0.0119,0.000139,0.271,0.781,94.967,audio_features,3ZbrIs9xvGTLtHDcOel91B,spotify:track:3ZbrIs9xvGTLtHDcOel91B,https://api.spotify.com/v1/tracks/3ZbrIs9xvGTLtHDcOel91B,https://api.spotify.com/v1/audio-analysis/3ZbrIs9xvGTLtHDcOel91B,246320,4
28,0.487,0.906,8,-10.1,1,0.0538,0.000276,0.723,0.222,0.0362,97.97,audio_features,3i1yAgKVYiChAj5eue4D5h,spotify:track:3i1yAgKVYiChAj5eue4D5h,https://api.spotify.com/v1/tracks/3i1yAgKVYiChAj5eue4D5h,https://api.spotify.com/v1/audio-analysis/3i1yAgKVYiChAj5eue4D5h,125640,4
29,0.689,0.564,0,-8.604,1,0.189,0.021,4.23e-05,0.472,0.107,100.002,audio_features,6iaEL3KYwAb1cUtdOjSxNl,spotify:track:6iaEL3KYwAb1cUtdOjSxNl,https://api.spotify.com/v1/tracks/6iaEL3KYwAb1cUtdOjSxNl,https://api.spotify.com/v1/audio-analysis/6iaEL3KYwAb1cUtdOjSxNl,215573,4
30,0.436,0.115,9,-13.627,1,0.0316,0.829,0.000165,0.112,0.14,181.959,audio_features,1zpIpaDCv77z6zN2fHNTW9,spotify:track:1zpIpaDCv77z6zN2fHNTW9,https://api.spotify.com/v1/tracks/1zpIpaDCv77z6zN2fHNTW9,https://api.spotify.com/v1/audio-analysis/1zpIpaDCv77z6zN2fHNTW9,282390,3
