,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.826,0.751,1,-5.177,0,0.0774,0.0234,1.38e-06,0.0956,0.344,115.021,audio_features,6ZL9TIl29MquNWbB8VkuKn,spotify:track:6ZL9TIl29MquNWbB8VkuKn,https://api.spotify.com/v1/tracks/6ZL9TIl29MquNWbB8VkuKn,https://api.spotify.com/v1/audio-analysis/6ZL9TIl29MquNWbB8VkuKn,244840,4
1,0.61,0.349,0,-9.321,1,0.0301,0.554,0.0099,0.201,0.155,136.012,audio_features,7keXdrB4mz57u4b8YkCwag,spotify:track:7keXdrB4mz57u4b8YkCwag,https://api.spotify.com/v1/tracks/7keXdrB4mz57u4b8YkCwag,https://api.spotify.com/v1/audio-analysis/7keXdrB4mz57u4b8YkCwag,245747,4
2,0.441,0.76,10,-9.732,1,0.0392,0.223,9.18e-06,0.178,0.703,198.581,audio_features,6vVESX7eHoxDHkgU1jS7dD,spotify:track:6vVESX7eHoxDHkgU1jS7dD,https://api.spotify.com/v1/tracks/6vVESX7eHoxDHkgU1jS7dD,https://api.spotify.com/v1/audio-analysis/6vVESX7eHoxDHkgU1jS7dD,190293,4
3,0.522,0.761,7,-7.032,1,0.0605,0.00206,0.000961,0.104,0.67,164.265,audio_features,4aaHMLV4RTwA4fCMwnOlVJ,spotify:track:4aaHMLV4RTwA4fCMwnOlVJ,https://api.spotify.com/v1/tracks/4aaHMLV4RTwA4fCMwnOlVJ,https://api.spotify.com/v1/audio-analysis/4aaHMLV4RTwA4fCMwnOlVJ,229867,4
4,0.747,0.453,4,-6.588,0,0.0653,0.18,0.00118,0.107,0.634,183.952,audio_features,7eWNL4Q8Wj5cKIaoffIDRQ,spotify:track:7eWNL4Q8Wj5cKIaoffIDRQ,https://api.spotify.com/v1/tracks/7eWNL4Q8Wj5cKIaoffIDRQ,https://api.spotify.com/v1/audio-analysis/7eWNL4Q8Wj5cKIaoffIDRQ,208720,4
5,0.517,0.492,5,-8.051,1,0.0272,0.0275,3.2e-05,0.0873,0.455,138.579,audio_features,6b5rA9rthDbZDOQp9UbOgl,spotify:track:6b5rA9rthDbZDOQp9UbOgl,https://api.spotify.com/v1/tracks/6b5rA9rthDbZDOQp9UbOgl,https://api.spotify.com/v1/audio-analysis/6b5rA9rthDbZDOQp9UbOgl,245173,4
6,0.504,0.816,9,-6.929,1,0.0607,0.292,0.00293,0.344,0.498,120.05,audio_features,6SivPyLsl3MjDrnZouZU7O,spotify:track:6SivPyLsl3MjDrnZouZU7O,https://api.spotify.com/v1/tracks/6SivPyLsl3MjDrnZouZU7O,https://api.spotify.com/v1/audio-analysis/6SivPyLsl3MjDrnZouZU7O,323453,4
7,0.748,0.888,1,-5.456,0,0.0543,0.0908,0.0,0.055,0.625,90.862,audio_features,3J7scZVfz4DtK4j3u6d8mY,spotify:track:3J7scZVfz4DtK4j3u6d8mY,https://api.spotify.com/v1/tracks/3J7scZVfz4DtK4j3u6d8mY,https://api.spotify.com/v1/audio-analysis/3J7scZVfz4DtK4j3u6d8mY,228552,4
8,0.706,0.427,8,-6.864,1,0.0879,0.413,0.0,0.0609,0.42,113.804,audio_features,6D0b04NJIKfEMg040WioJQ,spotify:track:6D0b04NJIKfEMg040WioJQ,https://api.spotify.com/v1/tracks/6D0b04NJIKfEMg040WioJQ,https://api.spotify.com/v1/audio-analysis/6D0b04NJIKfEMg040WioJQ,176320,4
9,0.739,0.893,7,-5.044,1,0.0398,0.108,0.0,0.133,0.711,101.996,audio_features,4cJOa4C610LT7rWpQvApQJ,spotify:track:4cJOa4C610LT7rWpQvApQJ,https://api.spotify.com/v1/tracks/4cJOa4C610LT7rWpQvApQJ,https://api.spotify.com/v1/audio-analysis/4cJOa4C610LT7rWpQvApQJ,175097,4
10,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,audio_features,0CokSRCu5hZgPxcZBaEzVE,spotify:track:0CokSRCu5hZgPxcZBaEzVE,https://api.spotify.com/v1/tracks/0CokSRCu5hZgPxcZBaEzVE,https://api.spotify.com/v1/audio-analysis/0CokSRCu5hZgPxcZBaEzVE,220454,4
11,0.94,0.335,5,-10.179,0,0.505,0.17,0.0,0.262,0.707,120.04,audio_features,5hTpBe8h35rJ67eAWHQsJx,spotify:track:5hTpBe8h35rJ67eAWHQsJx,https://api.spotify.com/v1/tracks/5hTpBe8h35rJ67eAWHQsJx,https://api.spotify.com/v1/audio-analysis/5hTpBe8h35rJ67eAWHQsJx,209640,4
12,0.604,0.724,6,-4.53,0,0.397,0.149,0.0,0.0864,0.675,140.078,audio_features,7LrqTR2fCCMANLtHdYt24A,spotify:track:7LrqTR2fCCMANLtHdYt24A,https://api.spotify.com/v1/tracks/7LrqTR2fCCMANLtHdYt24A,https://api.spotify.com/v1/audio-analysis/7LrqTR2fCCMANLtHdYt24A,250347,4
13,0.587,0.978,6,-4.16,1,0.0759,0.0016,0.00701,0.182,0.35,116.97,audio_features,7rijC0puBoW9GsHDIVu0d0,spotify:track:7rijC0puBoW9GsHDIVu0d0,https://api.spotify.com/v1/tracks/7rijC0puBoW9GsHDIVu0d0,https://api.spotify.com/v1/audio-analysis/7rijC0puBoW9GsHDIVu0d0,282147,4
14,0.681,0.629,0,-5.965,1,0.0469,0.000358,0.0249,0.0858,0.785,125.006,audio_features,1iekrCnLEbgqL5m5tONzLc,spotify:track:1iekrCnLEbgqL5m5tONzLc,https://api.spotify.com/v1/tracks/1iekrCnLEbgqL5m5tONzLc,https://api.spotify.com/v1/audio-analysis/1iekrCnLEbgqL5m5tONzLc,338871,3
15,0.471,0.918,5,-6.601,1,0.0583,0.069,0.88,0.0944,0.467,127.986,audio_features,5WcXRn8ZuvAhudrV0EIvIg,spotify:track:5WcXRn8ZuvAhudrV0EIvIg,https://api.spotify.com/v1/tracks/5WcXRn8ZuvAhudrV0EIvIg,https://api.spotify.com/v1/audio-analysis/5WcXRn8ZuvAhudrV0EIvIg,197333,4
16,0.92,0.771,11,-4.954,1,0.282,0.0869,0.0,0.244,0.635,140.051,audio_features,3O7wLnOCqJTLxE07ADcSlo,spotify:track:3O7wLnOCqJTLxE07ADcSlo,https://api.spotify.com/v1/tracks/3O7wLnOCqJTLxE07ADcSlo,https://api.spotify.com/v1/audio-analysis/3O7wLnOCqJTLxE07ADcSlo,246184,4
17,0.536,0.712,1,-6.939,1,0.0772,0.225,0.0,0.332,0.456,130.18,audio_features,1eDknpmiMTIqdDb7SaYSdf,spotify:track:1eDknpmiMTIqdDb7SaYSdf,https://api.spotify.com/v1/tracks/1eDknpmiMTIqdDb7SaYSdf,https://api.spotify.com/v1/audio-analysis/1eDknpmiMTIqdDb7SaYSdf,288387,4
18,0.675,0.219,11,-13.546,0,0.0311,0.897,0.103,0.0979,0.313,105.921,audio_features,5a4ZTEMp6wULHTEzJclKxt,spotify:track:5a4ZTEMp6wULHTEzJclKxt,https://api.spotify.com/v1/tracks/5a4ZTEMp6wULHTEzJclKxt,https://api.spotify.com/v1/audio-analysis/5a4ZTEMp6wULHTEzJclKxt,326493,4
19,0.599,0.897,0,-2.731,1,0.0435,0.228,0.0,0.554,0.931,156.016,audio_features,6TdweeWiGv35hKXn3tARjA,spotify:track:6TdweeWiGv35hKXn3tARjA,https://api.spotify.com/v1/tracks/6TdweeWiGv35hKXn3tARjA,https://api.spotify.com/v1/audio-analysis/6TdweeWiGv35hKXn3tARjA,190769,4
20,0.421,0.665,7,-5.445,1,0.037,0.53,0.0895,0.914,0.34,115.081,audio_features,3LMrs0we7YJfJlQfou22d1,spotify:track:3LMrs0we7YJfJlQfou22d1,https://api.spotify.com/v1/tracks/3LMrs0we7YJfJlQfou22d1,https://api.spotify.com/v1/audio-analysis/3LMrs0we7YJfJlQfou22d1,268667,4
21,0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913,audio_features,6HZILIRieu8S0iqY8kIKhj,spotify:track:6HZILIRieu8S0iqY8kIKhj,https://api.spotify.com/v1/tracks/6HZILIRieu8S0iqY8kIKhj,https://api.spotify.com/v1/audio-analysis/6HZILIRieu8S0iqY8kIKhj,185947,4
22,0.65,0.214,4,-15.458,0,0.027,0.64,0.00862,0.115,0.224,89.019,audio_features,1AdWmKZHWi4BkjiM3743Y2,spotify:track:1AdWmKZHWi4BkjiM3743Y2,https://api.spotify.com/v1/tracks/1AdWmKZHWi4BkjiM3743Y2,https://api.spotify.com/v1/audio-analysis/1AdWmKZHWi4BkjiM3743Y2,189027,4
23,0.751,0.72,1,-6.244,1,0.0339,0.528,0.0,0.0692,0.85,128.001,audio_features,0ZYYOSLHuuPlnqzlV1qSvo,spotify:track:0ZYYOSLHuuPlnqzlV1qSvo,https://api.spotify.com/v1/tracks/0ZYYOSLHuuPlnqzlV1qSvo,https://api.spotify.com/v1/audio-analysis/0ZYYOSLHuuPlnqzlV1qSvo,148702,4
24,0.728,0.656,2,-5.34,1,0.0378,0.151,0.0,0.28,0.287,104.998,audio_features,67ornPeJsD8z78E4isjhzm,spotify:track:67ornPeJsD8z78E4isjhzm,https://api.spotify.com/v1/tracks/67ornPeJsD8z78E4isjhzm,https://api.spotify.com/v1/audio-analysis/67ornPeJsD8z78E4isjhzm,204787,4
25,0.574,0.787,11,-4.147,0,0.398,0.176,0.0,0.0918,0.302,144.474,audio_features,1QTeMDnelf4xkKY5ONSnda,spotify:track:1QTeMDnelf4xkKY5ONSnda,https://api.spotify.com/v1/tracks/1QTeMDnelf4xkKY5ONSnda,https://api.spotify.com/v1/audio-analysis/1QTeMDnelf4xkKY5ONSnda,341453,4
26,0.738,0.776,4,-7.263,0,0.286,0.325,0.0,0.126,0.193,112.077,audio_features,68tCZwVQ6jG4YbMWbDN88c,spotify:track:68tCZwVQ6jG4YbMWbDN88c,https://api.spotify.com/v1/tracks/68tCZwVQ6jG4YbMWbDN88c,https://api.spotify.com/v1/audio-analysis/68tCZwVQ6jG4YbMWbDN88c,193280,4
27,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,audio_features,0y60itmpH0aPKsFiGxmtnh,spotify:track:0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/tracks/0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/audio-analysis/0y60itmpH0aPKsFiGxmtnh,196520,4
28,0.544,0.34,0,-8.95,1,0.0291,0.862,3.57e-06,0.0957,0.257,144.812,audio_features,6uv0GnArZDs61ivyZQL7kS,spotify:track:6uv0GnArZDs61ivyZQL7kS,https://api.spotify.com/v1/tracks/6uv0GnArZDs61ivyZQL7kS,https://api.spotify.com/v1/audio-analysis/6uv0GnArZDs61ivyZQL7kS,260493,4
