,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.697,0.535,10,-7.342,0,0.0627,0.459,0.000719,0.278,0.452,119.925,audio_features,1bjvi6lRXZxxuv2rJy3Yck,spotify:track:1bjvi6lRXZxxuv2rJy3Yck,https://api.spotify.com/v1/tracks/1bjvi6lRXZxxuv2rJy3Yck,https://api.spotify.com/v1/audio-analysis/1bjvi6lRXZxxuv2rJy3Yck,224575,4
1,0.157,0.989,9,-5.065,1,0.222,0.0324,3.38e-05,0.337,0.196,157.609,audio_features,21MwEJ8tHezcPy77BaELJ6,spotify:track:21MwEJ8tHezcPy77BaELJ6,https://api.spotify.com/v1/tracks/21MwEJ8tHezcPy77BaELJ6,https://api.spotify.com/v1/audio-analysis/21MwEJ8tHezcPy77BaELJ6,183000,4
2,0.757,0.634,6,-7.835,0,0.0891,0.1,0.00935,0.139,0.414,152.038,audio_features,7qDQhmvXb27hqKQxZ49GYr,spotify:track:7qDQhmvXb27hqKQxZ49GYr,https://api.spotify.com/v1/tracks/7qDQhmvXb27hqKQxZ49GYr,https://api.spotify.com/v1/audio-analysis/7qDQhmvXb27hqKQxZ49GYr,292204,4
3,0.63,0.624,1,-5.797,1,0.056,0.22,0.0,0.115,0.112,74.02,audio_features,48TcBRaKmg5FBaUHiuZNxj,spotify:track:48TcBRaKmg5FBaUHiuZNxj,https://api.spotify.com/v1/tracks/48TcBRaKmg5FBaUHiuZNxj,https://api.spotify.com/v1/audio-analysis/48TcBRaKmg5FBaUHiuZNxj,248107,4
4,0.307,0.0742,9,-27.159,0,0.0359,0.72,0.315,0.11,0.0394,118.682,audio_features,5HAjss9faCAowGY8dM24r6,spotify:track:5HAjss9faCAowGY8dM24r6,https://api.spotify.com/v1/tracks/5HAjss9faCAowGY8dM24r6,https://api.spotify.com/v1/audio-analysis/5HAjss9faCAowGY8dM24r6,161595,4
5,0.391,0.825,1,-4.408,0,0.0463,0.133,0.854,0.116,0.531,89.839,audio_features,6tHpxFDLucR3Xs9nivuyiO,spotify:track:6tHpxFDLucR3Xs9nivuyiO,https://api.spotify.com/v1/tracks/6tHpxFDLucR3Xs9nivuyiO,https://api.spotify.com/v1/audio-analysis/6tHpxFDLucR3Xs9nivuyiO,121333,4
6,0.476,0.933,2,-3.796,0,0.105,0.000235,0.00525,0.41,0.352,81.94,audio_features,1c4ezW3AOE7lILW4DSTLpy,spotify:track:1c4ezW3AOE7lILW4DSTLpy,https://api.spotify.com/v1/tracks/1c4ezW3AOE7lILW4DSTLpy,https://api.spotify.com/v1/audio-analysis/1c4ezW3AOE7lILW4DSTLpy,244840,4
7,0.703,0.806,2,-6.415,1,0.153,0.107,0.0,0.134,0.279,94.979,audio_features,2FdQ4hkbqZ1X930oxxgZZy,spotify:track:2FdQ4hkbqZ1X930oxxgZZy,https://api.spotify.com/v1/tracks/2FdQ4hkbqZ1X930oxxgZZy,https://api.spotify.com/v1/audio-analysis/2FdQ4hkbqZ1X930oxxgZZy,214757,4
8,0.235,0.965,2,-2.882,0,0.28,0.00887,0.0,0.0448,0.322,185.278,audio_features,7l0Lr7Tl4Gt8hQj4v3rwtf,spotify:track:7l0Lr7Tl4Gt8hQj4v3rwtf,https://api.spotify.com/v1/tracks/7l0Lr7Tl4Gt8hQj4v3rwtf,https://api.spotify.com/v1/audio-analysis/7l0Lr7Tl4Gt8hQj4v3rwtf,231840,4
9,0.274,0.936,0,-5.198,1,0.513,0.209,0.000376,0.972,0.515,186.096,audio_features,0BtkLqVbTGTEwIq6xideXT,spotify:track:0BtkLqVbTGTEwIq6xideXT,https://api.spotify.com/v1/tracks/0BtkLqVbTGTEwIq6xideXT,https://api.spotify.com/v1/audio-analysis/0BtkLqVbTGTEwIq6xideXT,258493,3
10,0.299,0.927,2,-6.396,0,0.0728,1.63e-05,0.0,0.632,0.333,180.141,audio_features,7bNuif1nZRCMZLUqbG0Btc,spotify:track:7bNuif1nZRCMZLUqbG0Btc,https://api.spotify.com/v1/tracks/7bNuif1nZRCMZLUqbG0Btc,https://api.spotify.com/v1/audio-analysis/7bNuif1nZRCMZLUqbG0Btc,213760,4
11,0.662,0.693,3,-4.298,1,0.0698,0.134,0.0,0.145,0.655,86.009,audio_features,1CdkNxTlkUWR4ZnXcKES3b,spotify:track:1CdkNxTlkUWR4ZnXcKES3b,https://api.spotify.com/v1/tracks/1CdkNxTlkUWR4ZnXcKES3b,https://api.spotify.com/v1/audio-analysis/1CdkNxTlkUWR4ZnXcKES3b,252120,4
12,0.663,0.481,6,-4.121,0,0.0545,0.195,6.7e-05,0.0836,0.306,75.523,audio_features,3gx6E5B42WHKf5agVWQAf2,spotify:track:3gx6E5B42WHKf5agVWQAf2,https://api.spotify.com/v1/tracks/3gx6E5B42WHKf5agVWQAf2,https://api.spotify.com/v1/audio-analysis/3gx6E5B42WHKf5agVWQAf2,281512,4
