,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.603,0.767,7,-4.035,0,0.0544,0.115,2.85e-05,0.314,0.491,173.923,audio_features,5ESfsDYalNA5kIaY1Ou7Cy,spotify:track:5ESfsDYalNA5kIaY1Ou7Cy,https://api.spotify.com/v1/tracks/5ESfsDYalNA5kIaY1Ou7Cy,https://api.spotify.com/v1/audio-analysis/5ESfsDYalNA5kIaY1Ou7Cy,156613,4
1,0.719,0.786,9,-5.583,1,0.0443,0.534,0.0,0.706,0.838,140.026,audio_features,0NYNSFnXnJFLSaubU9FDNo,spotify:track:0NYNSFnXnJFLSaubU9FDNo,https://api.spotify.com/v1/tracks/0NYNSFnXnJFLSaubU9FDNo,https://api.spotify.com/v1/audio-analysis/0NYNSFnXnJFLSaubU9FDNo,220800,4
2,0.558,0.296,10,-9.18,1,0.0427,0.907,0.0,0.108,0.463,76.04,audio_features,150xRZE9rtvEPdedbf3y3l,spotify:track:150xRZE9rtvEPdedbf3y3l,https://api.spotify.com/v1/tracks/150xRZE9rtvEPdedbf3y3l,https://api.spotify.com/v1/audio-analysis/150xRZE9rtvEPdedbf3y3l,234787,4
3,0.642,0.416,10,-10.491,1,0.107,0.593,0.0,0.285,0.564,99.726,audio_features,2x1vvXydeMN8IXynSp3PbT,spotify:track:2x1vvXydeMN8IXynSp3PbT,https://api.spotify.com/v1/tracks/2x1vvXydeMN8IXynSp3PbT,https://api.spotify.com/v1/audio-analysis/2x1vvXydeMN8IXynSp3PbT,225253,4
4,0.321,0.417,9,-7.851,0,0.034,0.616,0.00746,0.111,0.0586,132.135,audio_features,5NgkukcewabWAyckYvJsiV,spotify:track:5NgkukcewabWAyckYvJsiV,https://api.spotify.com/v1/tracks/5NgkukcewabWAyckYvJsiV,https://api.spotify.com/v1/audio-analysis/5NgkukcewabWAyckYvJsiV,270551,4
5,0.336,0.899,2,-4.654,1,0.0804,0.00014,0.0176,0.171,0.412,160.039,audio_features,3jVmhfk69WfsYsrqTyhfDh,spotify:track:3jVmhfk69WfsYsrqTyhfDh,https://api.spotify.com/v1/tracks/3jVmhfk69WfsYsrqTyhfDh,https://api.spotify.com/v1/audio-analysis/3jVmhfk69WfsYsrqTyhfDh,187667,4
6,0.687,0.778,1,-6.623,0,0.101,0.209,0.0,0.117,0.865,172.047,audio_features,6FZCj8wIH1sDklyZH3DEUC,spotify:track:6FZCj8wIH1sDklyZH3DEUC,https://api.spotify.com/v1/tracks/6FZCj8wIH1sDklyZH3DEUC,https://api.spotify.com/v1/audio-analysis/6FZCj8wIH1sDklyZH3DEUC,240733,4
7,0.412,0.391,1,-7.492,1,0.0367,0.931,6.31e-06,0.217,0.277,107.34,audio_features,16bjzDuAPBlgtGgB9ogdlE,spotify:track:16bjzDuAPBlgtGgB9ogdlE,https://api.spotify.com/v1/tracks/16bjzDuAPBlgtGgB9ogdlE,https://api.spotify.com/v1/audio-analysis/16bjzDuAPBlgtGgB9ogdlE,216549,4
8,0.514,0.534,4,-6.492,1,0.0329,0.189,0.0,0.134,0.379,180.037,audio_features,6snYsO7fEOcG63Mi4cenj8,spotify:track:6snYsO7fEOcG63Mi4cenj8,https://api.spotify.com/v1/tracks/6snYsO7fEOcG63Mi4cenj8,https://api.spotify.com/v1/audio-analysis/6snYsO7fEOcG63Mi4cenj8,232467,4
9,0.803,0.831,10,-7.2,1,0.28,0.413,0.0,0.0841,0.609,104.954,audio_features,1KkMyWwHcLyVWWpaPrqphg,spotify:track:1KkMyWwHcLyVWWpaPrqphg,https://api.spotify.com/v1/tracks/1KkMyWwHcLyVWWpaPrqphg,https://api.spotify.com/v1/audio-analysis/1KkMyWwHcLyVWWpaPrqphg,209084,4
