,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.688,0.477,0,-11.945,1,0.029,0.38,4.93e-05,0.0864,0.897,132.071,audio_features,49ohouIwlM73xHh3DuaFup,spotify:track:49ohouIwlM73xHh3DuaFup,https://api.spotify.com/v1/tracks/49ohouIwlM73xHh3DuaFup,https://api.spotify.com/v1/audio-analysis/49ohouIwlM73xHh3DuaFup,234667,4
1,0.611,0.849,1,-3.618,1,0.0855,0.261,0.0,0.203,0.693,81.959,audio_features,3BFxxpErzGMjs51LKUzwWF,spotify:track:3BFxxpErzGMjs51LKUzwWF,https://api.spotify.com/v1/tracks/3BFxxpErzGMjs51LKUzwWF,https://api.spotify.com/v1/audio-analysis/3BFxxpErzGMjs51LKUzwWF,186453,4
2,0.529,0.8,10,-7.025,1,0.166,0.155,0.0,0.0858,0.356,104.058,audio_features,76ZrqdtkKxhMl42xAQTnFm,spotify:track:76ZrqdtkKxhMl42xAQTnFm,https://api.spotify.com/v1/tracks/76ZrqdtkKxhMl42xAQTnFm,https://api.spotify.com/v1/audio-analysis/76ZrqdtkKxhMl42xAQTnFm,728413,4
3,0.519,0.272,0,-12.883,0,0.125,0.68,0.0,0.108,0.159,92.941,audio_features,1B5B554dl0Z36trXMkpizv,spotify:track:1B5B554dl0Z36trXMkpizv,https://api.spotify.com/v1/tracks/1B5B554dl0Z36trXMkpizv,https://api.spotify.com/v1/audio-analysis/1B5B554dl0Z36trXMkpizv,253933,4
4,0.734,0.736,8,-7.312,1,0.111,0.358,0.0,0.0861,0.254,108.539,audio_features,7AsgzpL09va6v6BRMcUFdk,spotify:track:7AsgzpL09va6v6BRMcUFdk,https://api.spotify.com/v1/tracks/7AsgzpL09va6v6BRMcUFdk,https://api.spotify.com/v1/audio-analysis/7AsgzpL09va6v6BRMcUFdk,265533,4
5,0.415,0.273,9,-12.288,1,0.0359,0.966,0.0,0.123,0.26,103.706,audio_features,2S8RjXFOOFWGbAaNKw7Nti,spotify:track:2S8RjXFOOFWGbAaNKw7Nti,https://api.spotify.com/v1/tracks/2S8RjXFOOFWGbAaNKw7Nti,https://api.spotify.com/v1/audio-analysis/2S8RjXFOOFWGbAaNKw7Nti,206171,1
6,0.308,0.0817,3,-21.932,1,0.047,0.964,0.809,0.108,0.101,155.322,audio_features,4b4iJp5pRlERSPkvSRK5PZ,spotify:track:4b4iJp5pRlERSPkvSRK5PZ,https://api.spotify.com/v1/tracks/4b4iJp5pRlERSPkvSRK5PZ,https://api.spotify.com/v1/audio-analysis/4b4iJp5pRlERSPkvSRK5PZ,635547,3
7,0.243,0.371,2,-8.807,1,0.0348,0.785,0.0292,0.0984,0.0397,113.781,audio_features,30CP95FedFG1EqiyaFMiK7,spotify:track:30CP95FedFG1EqiyaFMiK7,https://api.spotify.com/v1/tracks/30CP95FedFG1EqiyaFMiK7,https://api.spotify.com/v1/audio-analysis/30CP95FedFG1EqiyaFMiK7,384227,4
8,0.304,0.421,7,-7.769,1,0.0293,0.46,4.03e-05,0.163,0.216,75.928,audio_features,6k5QsifpMWtY5ilnzBZ0u4,spotify:track:6k5QsifpMWtY5ilnzBZ0u4,https://api.spotify.com/v1/tracks/6k5QsifpMWtY5ilnzBZ0u4,https://api.spotify.com/v1/audio-analysis/6k5QsifpMWtY5ilnzBZ0u4,262267,4
9,0.414,0.391,2,-11.303,1,0.139,0.564,1.92e-05,0.0861,0.126,86.299,audio_features,3fJ7C1mIxMSboDIl89Hjcs,spotify:track:3fJ7C1mIxMSboDIl89Hjcs,https://api.spotify.com/v1/tracks/3fJ7C1mIxMSboDIl89Hjcs,https://api.spotify.com/v1/audio-analysis/3fJ7C1mIxMSboDIl89Hjcs,290556,3
10,0.416,0.84,0,-4.298,1,0.0787,0.0139,0.0,0.113,0.523,177.942,audio_features,2X42KFgnOSaxOHMG0nDOdj,spotify:track:2X42KFgnOSaxOHMG0nDOdj,https://api.spotify.com/v1/tracks/2X42KFgnOSaxOHMG0nDOdj,https://api.spotify.com/v1/audio-analysis/2X42KFgnOSaxOHMG0nDOdj,242173,4
11,0.661,0.871,5,-2.841,0,0.292,0.0127,0.0,0.251,0.728,90.812,audio_features,3nPR2jfaPoiVhdLREuAwvg,spotify:track:3nPR2jfaPoiVhdLREuAwvg,https://api.spotify.com/v1/tracks/3nPR2jfaPoiVhdLREuAwvg,https://api.spotify.com/v1/audio-analysis/3nPR2jfaPoiVhdLREuAwvg,214427,4
12,0.444,0.896,0,-5.704,0,0.0523,0.00875,4.55e-05,0.294,0.804,94.991,audio_features,7Dj8lFTfYuB3CkfNpRuWjb,spotify:track:7Dj8lFTfYuB3CkfNpRuWjb,https://api.spotify.com/v1/tracks/7Dj8lFTfYuB3CkfNpRuWjb,https://api.spotify.com/v1/audio-analysis/7Dj8lFTfYuB3CkfNpRuWjb,201800,4
13,0.825,0.377,2,-9.164,1,0.0471,0.123,0.418,0.13,0.757,116.33,audio_features,7d9GQkPJwZVaBUFWGPdsJo,spotify:track:7d9GQkPJwZVaBUFWGPdsJo,https://api.spotify.com/v1/tracks/7d9GQkPJwZVaBUFWGPdsJo,https://api.spotify.com/v1/audio-analysis/7d9GQkPJwZVaBUFWGPdsJo,252880,4
14,0.593,0.81,1,-5.976,0,0.0341,0.0145,0.944,0.0906,0.173,128.067,audio_features,4YWxyVZf6PVPslFLbqY56j,spotify:track:4YWxyVZf6PVPslFLbqY56j,https://api.spotify.com/v1/tracks/4YWxyVZf6PVPslFLbqY56j,https://api.spotify.com/v1/audio-analysis/4YWxyVZf6PVPslFLbqY56j,189390,4
15,0.756,0.863,7,-3.39,1,0.028,0.404,0.0,0.112,0.915,132.987,audio_features,6yjsa6c8nSGQqXF12vFSpp,spotify:track:6yjsa6c8nSGQqXF12vFSpp,https://api.spotify.com/v1/tracks/6yjsa6c8nSGQqXF12vFSpp,https://api.spotify.com/v1/audio-analysis/6yjsa6c8nSGQqXF12vFSpp,213147,4
16,0.366,0.493,10,-7.414,1,0.0503,0.736,0.000457,0.106,0.306,116.031,audio_features,1VK5JYdgrJZENDl1taa2cS,spotify:track:1VK5JYdgrJZENDl1taa2cS,https://api.spotify.com/v1/tracks/1VK5JYdgrJZENDl1taa2cS,https://api.spotify.com/v1/audio-analysis/1VK5JYdgrJZENDl1taa2cS,147427,4
17,0.773,0.422,2,-7.242,1,0.324,0.26,0.0,0.279,0.529,154.106,audio_features,07YlTLGFG2LsTkqGFwY5jC,spotify:track:07YlTLGFG2LsTkqGFwY5jC,https://api.spotify.com/v1/tracks/07YlTLGFG2LsTkqGFwY5jC,https://api.spotify.com/v1/audio-analysis/07YlTLGFG2LsTkqGFwY5jC,239800,4
18,0.569,0.324,4,-10.208,1,0.027,0.485,0.000653,0.0847,0.225,86.921,audio_features,549129dOH5XJQhIu39akdX,spotify:track:549129dOH5XJQhIu39akdX,https://api.spotify.com/v1/tracks/549129dOH5XJQhIu39akdX,https://api.spotify.com/v1/audio-analysis/549129dOH5XJQhIu39akdX,212747,4
19,0.666,0.189,5,-16.991,1,0.137,0.946,0.0,0.103,0.572,80.312,audio_features,0mWXrr6HQZUhCQG4JMkT2e,spotify:track:0mWXrr6HQZUhCQG4JMkT2e,https://api.spotify.com/v1/tracks/0mWXrr6HQZUhCQG4JMkT2e,https://api.spotify.com/v1/audio-analysis/0mWXrr6HQZUhCQG4JMkT2e,58120,3
