,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.478,0.564,4,-2.766,1,0.0292,0.246,0.0,0.136,0.405,93.834,audio_features,5A6rPUyEg5UKB4emxlBcsq,spotify:track:5A6rPUyEg5UKB4emxlBcsq,https://api.spotify.com/v1/tracks/5A6rPUyEg5UKB4emxlBcsq,https://api.spotify.com/v1/audio-analysis/5A6rPUyEg5UKB4emxlBcsq,209987,4
1,0.817,0.706,10,-4.157,0,0.0799,0.0423,0.0,0.256,0.428,140.002,audio_features,6SvuMwPea2zKEN03IWCElv,spotify:track:6SvuMwPea2zKEN03IWCElv,https://api.spotify.com/v1/tracks/6SvuMwPea2zKEN03IWCElv,https://api.spotify.com/v1/audio-analysis/6SvuMwPea2zKEN03IWCElv,305400,4
2,0.671,0.145,0,-17.089,1,0.0317,0.946,2.1e-06,0.166,0.62,128.087,audio_features,0w4duPAMQIPQXQ8SSUsQdU,spotify:track:0w4duPAMQIPQXQ8SSUsQdU,https://api.spotify.com/v1/tracks/0w4duPAMQIPQXQ8SSUsQdU,https://api.spotify.com/v1/audio-analysis/0w4duPAMQIPQXQ8SSUsQdU,162573,4
3,0.549,0.908,1,-6.067,1,0.0345,0.00578,0.000257,0.0904,0.539,107.031,audio_features,3kaK1EohdhDXT5ICBMRGkz,spotify:track:3kaK1EohdhDXT5ICBMRGkz,https://api.spotify.com/v1/tracks/3kaK1EohdhDXT5ICBMRGkz,https://api.spotify.com/v1/audio-analysis/3kaK1EohdhDXT5ICBMRGkz,252867,4
4,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,audio_features,4INDiWSKvqSKDEu7mh8HFz,spotify:track:4INDiWSKvqSKDEu7mh8HFz,https://api.spotify.com/v1/tracks/4INDiWSKvqSKDEu7mh8HFz,https://api.spotify.com/v1/audio-analysis/4INDiWSKvqSKDEu7mh8HFz,257400,4
5,0.284,0.372,8,-9.821,0,0.0356,0.782,0.000183,0.103,0.0853,98.181,audio_features,302ZEWd1TDXvA4PLz0UQhj,spotify:track:302ZEWd1TDXvA4PLz0UQhj,https://api.spotify.com/v1/tracks/302ZEWd1TDXvA4PLz0UQhj,https://api.spotify.com/v1/audio-analysis/302ZEWd1TDXvA4PLz0UQhj,295960,4
6,0.638,0.807,1,-6.489,1,0.032,0.0731,0.0,0.0594,0.778,118.997,audio_features,2TmD4OyEl5WyhXR6wIia6m,spotify:track:2TmD4OyEl5WyhXR6wIia6m,https://api.spotify.com/v1/tracks/2TmD4OyEl5WyhXR6wIia6m,https://api.spotify.com/v1/audio-analysis/2TmD4OyEl5WyhXR6wIia6m,207173,4
7,0.573,0.952,7,-5.269,1,0.0519,0.000998,0.429,0.0631,0.0642,128.007,audio_features,1Oje7hUC1TVsu6HL2EL2GR,spotify:track:1Oje7hUC1TVsu6HL2EL2GR,https://api.spotify.com/v1/tracks/1Oje7hUC1TVsu6HL2EL2GR,https://api.spotify.com/v1/audio-analysis/1Oje7hUC1TVsu6HL2EL2GR,369387,4
8,0.599,0.533,9,-14.032,0,0.0472,0.475,0.00153,0.235,0.607,122.262,audio_features,336ZYcU6poBWi3s8yzRcAD,spotify:track:336ZYcU6poBWi3s8yzRcAD,https://api.spotify.com/v1/tracks/336ZYcU6poBWi3s8yzRcAD,https://api.spotify.com/v1/audio-analysis/336ZYcU6poBWi3s8yzRcAD,228467,4
9,0.412,0.441,11,-11.523,0,0.291,0.0296,0.0726,0.306,0.174,185.571,audio_features,5hgnY0mVcVetszbb85qeDg,spotify:track:5hgnY0mVcVetszbb85qeDg,https://api.spotify.com/v1/tracks/5hgnY0mVcVetszbb85qeDg,https://api.spotify.com/v1/audio-analysis/5hgnY0mVcVetszbb85qeDg,319467,4
