,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.576,0.575,0,-5.698,1,0.031,0.432,4.78e-05,0.071,0.499,134.245,audio_features,7LrscbTUziqRCsOR44K2i0,spotify:track:7LrscbTUziqRCsOR44K2i0,https://api.spotify.com/v1/tracks/7LrscbTUziqRCsOR44K2i0,https://api.spotify.com/v1/audio-analysis/7LrscbTUziqRCsOR44K2i0,225133,4
1,0.464,0.312,2,-7.121,1,0.0546,0.889,0.0,0.241,0.483,96.102,audio_features,0fwTTluhLNsJOY72Hr3JXw,spotify:track:0fwTTluhLNsJOY72Hr3JXw,https://api.spotify.com/v1/tracks/0fwTTluhLNsJOY72Hr3JXw,https://api.spotify.com/v1/audio-analysis/0fwTTluhLNsJOY72Hr3JXw,132453,3
2,0.805,0.744,0,-6.02,1,0.0572,0.00451,0.0,0.35,0.519,124.983,audio_features,7GqXcMf2Pnbz8pWn3lQeJr,spotify:track:7GqXcMf2Pnbz8pWn3lQeJr,https://api.spotify.com/v1/tracks/7GqXcMf2Pnbz8pWn3lQeJr,https://api.spotify.com/v1/audio-analysis/7GqXcMf2Pnbz8pWn3lQeJr,255147,4
3,0.313,0.495,7,-12.37,1,0.0429,0.41,0.184,0.392,0.12,89.971,audio_features,078y8ygOFesjpWf3Pp5yNv,spotify:track:078y8ygOFesjpWf3Pp5yNv,https://api.spotify.com/v1/tracks/078y8ygOFesjpWf3Pp5yNv,https://api.spotify.com/v1/audio-analysis/078y8ygOFesjpWf3Pp5yNv,305023,4
4,0.388,0.742,2,-5.37,1,0.0413,0.0066,0.0,0.117,0.308,149.668,audio_features,605kfUKWlTgADKB09SH0P1,spotify:track:605kfUKWlTgADKB09SH0P1,https://api.spotify.com/v1/tracks/605kfUKWlTgADKB09SH0P1,https://api.spotify.com/v1/audio-analysis/605kfUKWlTgADKB09SH0P1,266467,4
5,0.785,0.901,7,-3.205,0,0.0553,0.0867,0.000271,0.0903,0.6,113.289,audio_features,5wPhERt9izm1T45aFXDWPe,spotify:track:5wPhERt9izm1T45aFXDWPe,https://api.spotify.com/v1/tracks/5wPhERt9izm1T45aFXDWPe,https://api.spotify.com/v1/audio-analysis/5wPhERt9izm1T45aFXDWPe,203333,4
6,0.717,0.546,7,-6.493,1,0.0798,0.436,0.0,0.0667,0.964,157.296,audio_features,3Tshb8DCw7TEdnNMJc8Yuw,spotify:track:3Tshb8DCw7TEdnNMJc8Yuw,https://api.spotify.com/v1/tracks/3Tshb8DCw7TEdnNMJc8Yuw,https://api.spotify.com/v1/audio-analysis/3Tshb8DCw7TEdnNMJc8Yuw,177000,3
7,0.469,0.6,7,-11.155,1,0.0288,0.132,0.00606,0.273,0.135,112.426,audio_features,325toqbCzE1g1pYIED7U4C,spotify:track:325toqbCzE1g1pYIED7U4C,https://api.spotify.com/v1/tracks/325toqbCzE1g1pYIED7U4C,https://api.spotify.com/v1/audio-analysis/325toqbCzE1g1pYIED7U4C,372226,4
8,0.797,0.507,1,-9.214,1,0.0694,0.308,0.0,0.108,0.447,102.069,audio_features,4PZ4xyWBCCJqAeWI8uSLca,spotify:track:4PZ4xyWBCCJqAeWI8uSLca,https://api.spotify.com/v1/tracks/4PZ4xyWBCCJqAeWI8uSLca,https://api.spotify.com/v1/audio-analysis/4PZ4xyWBCCJqAeWI8uSLca,169604,4
9,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,audio_features,0laYHRpNTS6i8FXdupHkJ4,spotify:track:0laYHRpNTS6i8FXdupHkJ4,https://api.spotify.com/v1/tracks/0laYHRpNTS6i8FXdupHkJ4,https://api.spotify.com/v1/audio-analysis/0laYHRpNTS6i8FXdupHkJ4,188453,4
10,0.508,0.465,9,-8.275,1,0.0445,0.44,0.0,0.0979,0.176,149.977,audio_features,3b3UASX1zmY2Pf90oK2R6E,spotify:track:3b3UASX1zmY2Pf90oK2R6E,https://api.spotify.com/v1/tracks/3b3UASX1zmY2Pf90oK2R6E,https://api.spotify.com/v1/audio-analysis/3b3UASX1zmY2Pf90oK2R6E,210933,4
11,0.687,0.918,7,-4.676,1,0.0392,0.00211,1.26e-05,0.344,0.747,110.06,audio_features,73q3FpQVXWk5eSUnyo83E4,spotify:track:73q3FpQVXWk5eSUnyo83E4,https://api.spotify.com/v1/tracks/73q3FpQVXWk5eSUnyo83E4,https://api.spotify.com/v1/audio-analysis/73q3FpQVXWk5eSUnyo83E4,209400,4
12,0.45,0.782,11,-6.769,1,0.0364,0.00919,0.101,0.123,0.222,173.954,audio_features,1oXUNLmT1S8vNSDEE7eMMN,spotify:track:1oXUNLmT1S8vNSDEE7eMMN,https://api.spotify.com/v1/tracks/1oXUNLmT1S8vNSDEE7eMMN,https://api.spotify.com/v1/audio-analysis/1oXUNLmT1S8vNSDEE7eMMN,201602,4
13,0.209,0.238,10,-12.601,1,0.0354,0.955,0.0765,0.112,0.0597,127.982,audio_features,7grcyKyYbHzb81Y1dGkh8y,spotify:track:7grcyKyYbHzb81Y1dGkh8y,https://api.spotify.com/v1/tracks/7grcyKyYbHzb81Y1dGkh8y,https://api.spotify.com/v1/audio-analysis/7grcyKyYbHzb81Y1dGkh8y,317333,4
14,0.641,0.622,0,-9.153,1,0.0297,0.57,8.15e-05,0.0694,0.552,147.997,audio_features,2fG23IIy7rYN8eMNbAHcS2,spotify:track:2fG23IIy7rYN8eMNbAHcS2,https://api.spotify.com/v1/tracks/2fG23IIy7rYN8eMNbAHcS2,https://api.spotify.com/v1/audio-analysis/2fG23IIy7rYN8eMNbAHcS2,196040,4
15,0.737,0.479,7,-13.661,1,0.516,0.0251,2.13e-05,0.248,0.602,179.929,audio_features,3JbNgF1CBXX5KcKU99wUQg,spotify:track:3JbNgF1CBXX5KcKU99wUQg,https://api.spotify.com/v1/tracks/3JbNgF1CBXX5KcKU99wUQg,https://api.spotify.com/v1/audio-analysis/3JbNgF1CBXX5KcKU99wUQg,283560,4
16,0.904,0.826,1,-2.372,0,0.272,0.0531,0.0,0.214,0.824,101.35,audio_features,1YQ7BbJR8HqAolfprvxGKu,spotify:track:1YQ7BbJR8HqAolfprvxGKu,https://api.spotify.com/v1/tracks/1YQ7BbJR8HqAolfprvxGKu,https://api.spotify.com/v1/audio-analysis/1YQ7BbJR8HqAolfprvxGKu,191600,4
17,0.391,0.686,7,-6.144,1,0.0278,0.00156,0.00433,0.554,0.522,170.086,audio_features,1ODWJl38SGc9ktyODtAg4W,spotify:track:1ODWJl38SGc9ktyODtAg4W,https://api.spotify.com/v1/tracks/1ODWJl38SGc9ktyODtAg4W,https://api.spotify.com/v1/audio-analysis/1ODWJl38SGc9ktyODtAg4W,321133,4
18,0.704,0.367,11,-13.747,1,0.0302,0.736,1.37e-06,0.0969,0.24,114.968,audio_features,4mawUzzbSUB8WfbGZLGuUk,spotify:track:4mawUzzbSUB8WfbGZLGuUk,https://api.spotify.com/v1/tracks/4mawUzzbSUB8WfbGZLGuUk,https://api.spotify.com/v1/audio-analysis/4mawUzzbSUB8WfbGZLGuUk,187867,4
19,0.619,0.674,9,-6.231,1,0.395,0.0248,0.0,0.0972,0.613,175.65,audio_features,56hxY4pQKHncSgBSEk7yF6,spotify:track:56hxY4pQKHncSgBSEk7yF6,https://api.spotify.com/v1/tracks/56hxY4pQKHncSgBSEk7yF6,https://api.spotify.com/v1/audio-analysis/56hxY4pQKHncSgBSEk7yF6,79000,4
20,0.375,0.68,1,-7.015,1,0.0441,4.07e-05,0.0908,0.0851,0.367,91.424,audio_features,03lZNiF3N1o61LQJEYKh6y,spotify:track:03lZNiF3N1o61LQJEYKh6y,https://api.spotify.com/v1/tracks/03lZNiF3N1o61LQJEYKh6y,https://api.spotify.com/v1/audio-analysis/03lZNiF3N1o61LQJEYKh6y,299267,4
21,0.561,0.846,9,-4.48,1,0.0867,0.0634,0.0,0.193,0.75,116.168,audio_features,5s9sZ2i76iAZeFt5f9uUKP,spotify:track:5s9sZ2i76iAZeFt5f9uUKP,https://api.spotify.com/v1/tracks/5s9sZ2i76iAZeFt5f9uUKP,https://api.spotify.com/v1/audio-analysis/5s9sZ2i76iAZeFt5f9uUKP,144013,4
22,0.54,0.608,5,-8.572,1,0.0351,0.0048,2.64e-06,0.0953,0.449,134.939,audio_features,6IMzg4v7dPiOQK78YADTo5,spotify:track:6IMzg4v7dPiOQK78YADTo5,https://api.spotify.com/v1/tracks/6IMzg4v7dPiOQK78YADTo5,https://api.spotify.com/v1/audio-analysis/6IMzg4v7dPiOQK78YADTo5,228267,4
23,0.538,0.72,7,-5.103,1,0.0423,0.0709,0.0,0.346,0.323,179.753,audio_features,4dvnuqk5iFbpEh0BJYAJmr,spotify:track:4dvnuqk5iFbpEh0BJYAJmr,https://api.spotify.com/v1/tracks/4dvnuqk5iFbpEh0BJYAJmr,https://api.spotify.com/v1/audio-analysis/4dvnuqk5iFbpEh0BJYAJmr,213160,3
24,0.469,0.905,6,-4.234,0,0.0595,0.0163,0.0,0.0912,0.862,182.942,audio_features,0F6Zc0zn80rHOGY7Yc600P,spotify:track:0F6Zc0zn80rHOGY7Yc600P,https://api.spotify.com/v1/tracks/0F6Zc0zn80rHOGY7Yc600P,https://api.spotify.com/v1/audio-analysis/0F6Zc0zn80rHOGY7Yc600P,234163,4
25,0.576,0.486,4,-9.364,1,0.0406,0.0606,0.000143,0.093,0.337,141.951,audio_features,3pLTOP0G0etiWUknFoRpsr,spotify:track:3pLTOP0G0etiWUknFoRpsr,https://api.spotify.com/v1/tracks/3pLTOP0G0etiWUknFoRpsr,https://api.spotify.com/v1/audio-analysis/3pLTOP0G0etiWUknFoRpsr,217987,4
26,0.802,0.831,1,-7.108,1,0.305,0.0849,0.00178,0.231,0.702,96.995,audio_features,3K14Lbs8fFa8nTQ7bacADg,spotify:track:3K14Lbs8fFa8nTQ7bacADg,https://api.spotify.com/v1/tracks/3K14Lbs8fFa8nTQ7bacADg,https://api.spotify.com/v1/audio-analysis/3K14Lbs8fFa8nTQ7bacADg,158360,4
27,0.689,0.891,9,-5.765,0,0.0594,0.0111,0.0,0.0952,0.581,84.98,audio_features,1ChQuPAqmdGIihHYOjI9Lg,spotify:track:1ChQuPAqmdGIihHYOjI9Lg,https://api.spotify.com/v1/tracks/1ChQuPAqmdGIihHYOjI9Lg,https://api.spotify.com/v1/audio-analysis/1ChQuPAqmdGIihHYOjI9Lg,203333,4
28,0.365,0.22,4,-12.335,0,0.0327,0.749,1.86e-06,0.111,0.135,72.701,audio_features,11t9mpEdj1lwY1NALuPzsM,spotify:track:11t9mpEdj1lwY1NALuPzsM,https://api.spotify.com/v1/tracks/11t9mpEdj1lwY1NALuPzsM,https://api.spotify.com/v1/audio-analysis/11t9mpEdj1lwY1NALuPzsM,335240,4
29,0.743,0.72,11,-3.753,1,0.124,0.192,0.000386,0.109,0.519,163.99,audio_features,7pNC5ZIKtwUK0ReSpM3P9f,spotify:track:7pNC5ZIKtwUK0ReSpM3P9f,https://api.spotify.com/v1/tracks/7pNC5ZIKtwUK0ReSpM3P9f,https://api.spotify.com/v1/audio-analysis/7pNC5ZIKtwUK0ReSpM3P9f,209423,4
30,0.66,0.591,4,-8.497,0,0.026,0.16,0.848,0.632,0.849,100.034,audio_features,5fLfzMQ6T583mnUke8622M,spotify:track:5fLfzMQ6T583mnUke8622M,https://api.spotify.com/v1/tracks/5fLfzMQ6T583mnUke8622M,https://api.spotify.com/v1/audio-analysis/5fLfzMQ6T583mnUke8622M,172507,4
31,0.717,0.709,10,-5.611,0,0.136,0.0386,0.0,0.433,0.651,139.414,audio_features,1eu6vM3Q8wYKGYZCn26uMb,spotify:track:1eu6vM3Q8wYKGYZCn26uMb,https://api.spotify.com/v1/tracks/1eu6vM3Q8wYKGYZCn26uMb,https://api.spotify.com/v1/audio-analysis/1eu6vM3Q8wYKGYZCn26uMb,219133,4
32,0.6,0.589,0,-8.812,1,0.117,0.0977,0.0,0.167,0.211,124.913,audio_features,3tvirIJWdwDQmUyKt4jYpG,spotify:track:3tvirIJWdwDQmUyKt4jYpG,https://api.spotify.com/v1/tracks/3tvirIJWdwDQmUyKt4jYpG,https://api.spotify.com/v1/audio-analysis/3tvirIJWdwDQmUyKt4jYpG,279593,4
33,0.402,0.875,10,-3.328,1,0.0552,0.0185,0.0046,0.114,0.47,156.25,audio_features,29KLzcHid0QnNVBw7x9rbi,spotify:track:29KLzcHid0QnNVBw7x9rbi,https://api.spotify.com/v1/tracks/29KLzcHid0QnNVBw7x9rbi,https://api.spotify.com/v1/audio-analysis/29KLzcHid0QnNVBw7x9rbi,218760,4
34,0.703,0.581,3,-9.916,1,0.0268,0.504,0.0284,0.099,0.463,135.914,audio_features,2LVJ59IsKWobIFG1PZcOq0,spotify:track:2LVJ59IsKWobIFG1PZcOq0,https://api.spotify.com/v1/tracks/2LVJ59IsKWobIFG1PZcOq0,https://api.spotify.com/v1/audio-analysis/2LVJ59IsKWobIFG1PZcOq0,351707,4
35,0.741,0.613,1,-9.347,1,0.0354,0.316,0.0316,0.0893,0.271,115.031,audio_features,78mNkiUBAwHqjT0QOeEqqg,spotify:track:78mNkiUBAwHqjT0QOeEqqg,https://api.spotify.com/v1/tracks/78mNkiUBAwHqjT0QOeEqqg,https://api.spotify.com/v1/audio-analysis/78mNkiUBAwHqjT0QOeEqqg,171109,4
36,0.755,0.895,0,-5.584,1,0.141,0.113,0.0,0.0714,0.848,97.986,audio_features,0gHSFpCQZmZ1LwPHQpzn6T,spotify:track:0gHSFpCQZmZ1LwPHQpzn6T,https://api.spotify.com/v1/tracks/0gHSFpCQZmZ1LwPHQpzn6T,https://api.spotify.com/v1/audio-analysis/0gHSFpCQZmZ1LwPHQpzn6T,245555,4
37,0.433,0.852,11,-3.95,1,0.377,0.05,0.0,0.198,0.685,91.666,audio_features,6GsTe1p5C6JzuuJMmsZ8v3,spotify:track:6GsTe1p5C6JzuuJMmsZ8v3,https://api.spotify.com/v1/tracks/6GsTe1p5C6JzuuJMmsZ8v3,https://api.spotify.com/v1/audio-analysis/6GsTe1p5C6JzuuJMmsZ8v3,259320,5
38,0.555,0.508,1,-6.8,1,0.13,0.664,0.0,0.0817,0.664,125.81,audio_features,6iclRsf6D5EWzBYhpGG1u7,spotify:track:6iclRsf6D5EWzBYhpGG1u7,https://api.spotify.com/v1/tracks/6iclRsf6D5EWzBYhpGG1u7,https://api.spotify.com/v1/audio-analysis/6iclRsf6D5EWzBYhpGG1u7,212000,4
39,0.339,0.34,11,-14.377,1,0.0385,0.657,0.459,0.375,0.117,142.362,audio_features,2fQ2iALVbAZ7MkH6PaaIJ6,spotify:track:2fQ2iALVbAZ7MkH6PaaIJ6,https://api.spotify.com/v1/tracks/2fQ2iALVbAZ7MkH6PaaIJ6,https://api.spotify.com/v1/audio-analysis/2fQ2iALVbAZ7MkH6PaaIJ6,419133,4
