,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.492,0.315,0,-13.256,1,0.0526,0.873,0.414,0.0984,0.376,99.504,audio_features,6Ijb2xCO37OOFQra6gzYGl,spotify:track:6Ijb2xCO37OOFQra6gzYGl,https://api.spotify.com/v1/tracks/6Ijb2xCO37OOFQra6gzYGl,https://api.spotify.com/v1/audio-analysis/6Ijb2xCO37OOFQra6gzYGl,224570,4
1,0.514,0.97,2,-4.247,1,0.0811,1.08e-05,0.546,0.355,0.58,112.474,audio_features,0yZsSrXqJzQxzToqqzGfGy,spotify:track:0yZsSrXqJzQxzToqqzGfGy,https://api.spotify.com/v1/tracks/0yZsSrXqJzQxzToqqzGfGy,https://api.spotify.com/v1/audio-analysis/0yZsSrXqJzQxzToqqzGfGy,213633,4
2,0.534,0.254,3,-10.498,1,0.0326,0.856,0.000108,0.0724,0.165,129.156,audio_features,2aw5hvET9JcqwFJp8UaGL2,spotify:track:2aw5hvET9JcqwFJp8UaGL2,https://api.spotify.com/v1/tracks/2aw5hvET9JcqwFJp8UaGL2,https://api.spotify.com/v1/audio-analysis/2aw5hvET9JcqwFJp8UaGL2,229947,4
3,0.445,0.554,0,-6.48,1,0.0338,0.0722,0.0,0.112,0.235,88.015,audio_features,3xtQyClXnNO2OfdacLXQuM,spotify:track:3xtQyClXnNO2OfdacLXQuM,https://api.spotify.com/v1/tracks/3xtQyClXnNO2OfdacLXQuM,https://api.spotify.com/v1/audio-analysis/3xtQyClXnNO2OfdacLXQuM,200979,4
4,0.722,0.527,7,-6.728,0,0.127,0.157,0.0,0.182,0.364,119.929,audio_features,4rX2ORvQDTozdVxzXnKEO6,spotify:track:4rX2ORvQDTozdVxzXnKEO6,https://api.spotify.com/v1/tracks/4rX2ORvQDTozdVxzXnKEO6,https://api.spotify.com/v1/audio-analysis/4rX2ORvQDTozdVxzXnKEO6,228093,4
5,0.477,0.41,1,-10.029,1,0.0463,0.258,0.0,0.0885,0.357,99.864,audio_features,7ArTBb7Q4o1YURM0NDHvpa,spotify:track:7ArTBb7Q4o1YURM0NDHvpa,https://api.spotify.com/v1/tracks/7ArTBb7Q4o1YURM0NDHvpa,https://api.spotify.com/v1/audio-analysis/7ArTBb7Q4o1YURM0NDHvpa,231088,4
6,0.871,0.387,10,-9.535,1,0.545,0.73,4.45e-06,0.111,0.368,59.964,audio_features,4EeT7skFzWj1r7wch1KCQH,spotify:track:4EeT7skFzWj1r7wch1KCQH,https://api.spotify.com/v1/tracks/4EeT7skFzWj1r7wch1KCQH,https://api.spotify.com/v1/audio-analysis/4EeT7skFzWj1r7wch1KCQH,248480,4
7,0.79,0.549,11,-6.812,0,0.0488,0.187,6.41e-06,0.0933,0.575,124.881,audio_features,4KIMCBrYAQ3b6pGqwj36HB,spotify:track:4KIMCBrYAQ3b6pGqwj36HB,https://api.spotify.com/v1/tracks/4KIMCBrYAQ3b6pGqwj36HB,https://api.spotify.com/v1/audio-analysis/4KIMCBrYAQ3b6pGqwj36HB,225171,4
8,0.527,0.896,5,-4.886,0,0.0623,0.0103,0.00556,0.436,0.0964,127.988,audio_features,4zbjdgNLEmrDtg9JV7vEyp,spotify:track:4zbjdgNLEmrDtg9JV7vEyp,https://api.spotify.com/v1/tracks/4zbjdgNLEmrDtg9JV7vEyp,https://api.spotify.com/v1/audio-analysis/4zbjdgNLEmrDtg9JV7vEyp,213729,4
9,0.0783,0.134,9,-10.109,1,0.0414,0.493,3.19e-05,0.14,0.0807,176.242,audio_features,4kp64XCgBUhIsNtIJtBsJy,spotify:track:4kp64XCgBUhIsNtIJtBsJy,https://api.spotify.com/v1/tracks/4kp64XCgBUhIsNtIJtBsJy,https://api.spotify.com/v1/audio-analysis/4kp64XCgBUhIsNtIJtBsJy,300080,3
10,0.788,0.705,11,-4.092,0,0.0373,0.153,0.0,0.101,0.802,120.081,audio_features,2ad0r8uiQ1Dz8jdFBvYXYi,spotify:track:2ad0r8uiQ1Dz8jdFBvYXYi,https://api.spotify.com/v1/tracks/2ad0r8uiQ1Dz8jdFBvYXYi,https://api.spotify.com/v1/audio-analysis/2ad0r8uiQ1Dz8jdFBvYXYi,243613,4
11,0.7,0.7,7,-5.248,1,0.0294,0.18,5e-05,0.0847,0.581,121.761,audio_features,1q2lZdxH80D9UwM57J4pzX,spotify:track:1q2lZdxH80D9UwM57J4pzX,https://api.spotify.com/v1/tracks/1q2lZdxH80D9UwM57J4pzX,https://api.spotify.com/v1/audio-analysis/1q2lZdxH80D9UwM57J4pzX,280000,4
12,0.808,0.856,7,-3.553,1,0.162,0.0463,0.0,0.36,0.7,107.951,audio_features,3NW0zAs5TXnfoyWuTPdyjP,spotify:track:3NW0zAs5TXnfoyWuTPdyjP,https://api.spotify.com/v1/tracks/3NW0zAs5TXnfoyWuTPdyjP,https://api.spotify.com/v1/audio-analysis/3NW0zAs5TXnfoyWuTPdyjP,183907,4
13,0.828,0.487,6,-6.142,0,0.0343,0.247,1.86e-05,0.136,0.761,85.027,audio_features,7gDwRzJhLs0fFHaGtMDJVM,spotify:track:7gDwRzJhLs0fFHaGtMDJVM,https://api.spotify.com/v1/tracks/7gDwRzJhLs0fFHaGtMDJVM,https://api.spotify.com/v1/audio-analysis/7gDwRzJhLs0fFHaGtMDJVM,280160,4
14,0.488,0.41,9,-18.517,1,0.033,0.471,0.842,0.0751,0.0714,97.82,audio_features,1NQsLiKNaGaOrr5NqAq5wO,spotify:track:1NQsLiKNaGaOrr5NqAq5wO,https://api.spotify.com/v1/tracks/1NQsLiKNaGaOrr5NqAq5wO,https://api.spotify.com/v1/audio-analysis/1NQsLiKNaGaOrr5NqAq5wO,71693,4
15,0.604,0.902,4,-1.912,1,0.0386,0.00754,0.0,0.62,0.525,130.029,audio_features,5IhDbkr7TIy9trIOnW8cv1,spotify:track:5IhDbkr7TIy9trIOnW8cv1,https://api.spotify.com/v1/tracks/5IhDbkr7TIy9trIOnW8cv1,https://api.spotify.com/v1/audio-analysis/5IhDbkr7TIy9trIOnW8cv1,212027,3
16,0.584,0.817,8,-8.062,1,0.0479,0.0412,1.15e-06,0.108,0.347,129.081,audio_features,14RDwuW2LrbcwUjjP4TOBh,spotify:track:14RDwuW2LrbcwUjjP4TOBh,https://api.spotify.com/v1/tracks/14RDwuW2LrbcwUjjP4TOBh,https://api.spotify.com/v1/audio-analysis/14RDwuW2LrbcwUjjP4TOBh,191333,4
17,0.662,0.532,5,-7.407,1,0.0534,0.261,0.0,0.0741,0.397,92.048,audio_features,7IJiDYPZy2AIJn3YVHhvD4,spotify:track:7IJiDYPZy2AIJn3YVHhvD4,https://api.spotify.com/v1/tracks/7IJiDYPZy2AIJn3YVHhvD4,https://api.spotify.com/v1/audio-analysis/7IJiDYPZy2AIJn3YVHhvD4,182257,4
18,0.838,0.72,6,-7.091,0,0.271,0.0343,2.29e-06,0.12,0.717,92.883,audio_features,1XqroBEDkZcqaL6dngD8SB,spotify:track:1XqroBEDkZcqaL6dngD8SB,https://api.spotify.com/v1/tracks/1XqroBEDkZcqaL6dngD8SB,https://api.spotify.com/v1/audio-analysis/1XqroBEDkZcqaL6dngD8SB,211960,4
19,0.702,0.701,10,-7.756,0,0.11,0.0552,0.0,0.316,0.603,92.016,audio_features,5xU96mHWGGKm9SWOJdomwc,spotify:track:5xU96mHWGGKm9SWOJdomwc,https://api.spotify.com/v1/tracks/5xU96mHWGGKm9SWOJdomwc,https://api.spotify.com/v1/audio-analysis/5xU96mHWGGKm9SWOJdomwc,197547,4
20,0.596,0.942,7,-4.192,1,0.0481,0.0218,0.0555,0.319,0.269,149.871,audio_features,4c7mhQEs0EFev7K7rT9Ugs,spotify:track:4c7mhQEs0EFev7K7rT9Ugs,https://api.spotify.com/v1/tracks/4c7mhQEs0EFev7K7rT9Ugs,https://api.spotify.com/v1/audio-analysis/4c7mhQEs0EFev7K7rT9Ugs,207465,4
21,0.637,0.804,11,-5.845,1,0.0556,0.000766,3.7e-05,0.375,0.407,119.185,audio_features,4Ar0cw0SPK78LgVqj5lVdE,spotify:track:4Ar0cw0SPK78LgVqj5lVdE,https://api.spotify.com/v1/tracks/4Ar0cw0SPK78LgVqj5lVdE,https://api.spotify.com/v1/audio-analysis/4Ar0cw0SPK78LgVqj5lVdE,219280,4
22,0.767,0.906,1,-6.185,1,0.0662,0.00455,0.0,0.31,0.839,110.016,audio_features,0gLXq7mfJsjYVko5KTR8Ej,spotify:track:0gLXq7mfJsjYVko5KTR8Ej,https://api.spotify.com/v1/tracks/0gLXq7mfJsjYVko5KTR8Ej,https://api.spotify.com/v1/audio-analysis/0gLXq7mfJsjYVko5KTR8Ej,236880,4
