,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.511,0.178,7,-9.202,1,0.0274,0.899,2.19e-05,0.158,0.0785,100.708,audio_features,2GYLxcUO1NEMn0IocEafRj,spotify:track:2GYLxcUO1NEMn0IocEafRj,https://api.spotify.com/v1/tracks/2GYLxcUO1NEMn0IocEafRj,https://api.spotify.com/v1/audio-analysis/2GYLxcUO1NEMn0IocEafRj,310947,3
1,0.385,0.443,7,-9.627,0,0.0295,0.0632,0.0,0.0898,0.275,151.278,audio_features,65B1tEOv5W294uCKbmEcFV,spotify:track:65B1tEOv5W294uCKbmEcFV,https://api.spotify.com/v1/tracks/65B1tEOv5W294uCKbmEcFV,https://api.spotify.com/v1/audio-analysis/65B1tEOv5W294uCKbmEcFV,294533,4
2,0.511,0.223,10,-8.105,1,0.0473,0.938,0.0,0.129,0.323,76.558,audio_features,14UcGE2WrAWH0r1aYpikag,spotify:track:14UcGE2WrAWH0r1aYpikag,https://api.spotify.com/v1/tracks/14UcGE2WrAWH0r1aYpikag,https://api.spotify.com/v1/audio-analysis/14UcGE2WrAWH0r1aYpikag,240400,4
3,0.761,0.585,6,-5.479,0,0.0622,0.74,2.84e-06,0.128,0.359,118.04,audio_features,6DYAK3Udt666cPlKmemsSL,spotify:track:6DYAK3Udt666cPlKmemsSL,https://api.spotify.com/v1/tracks/6DYAK3Udt666cPlKmemsSL,https://api.spotify.com/v1/audio-analysis/6DYAK3Udt666cPlKmemsSL,161642,4
4,0.653,0.899,11,-3.607,1,0.0601,0.00818,0.0,0.312,0.303,138.446,audio_features,5yaaLJ6Y1KBExl946jZalo,spotify:track:5yaaLJ6Y1KBExl946jZalo,https://api.spotify.com/v1/tracks/5yaaLJ6Y1KBExl946jZalo,https://api.spotify.com/v1/audio-analysis/5yaaLJ6Y1KBExl946jZalo,260267,4
5,0.554,0.655,2,-6.699,1,0.0399,0.00422,0.0,0.136,0.386,166.051,audio_features,4dSQ5X50r6ETZRlp17taS5,spotify:track:4dSQ5X50r6ETZRlp17taS5,https://api.spotify.com/v1/tracks/4dSQ5X50r6ETZRlp17taS5,https://api.spotify.com/v1/audio-analysis/4dSQ5X50r6ETZRlp17taS5,200333,4
6,0.67,0.759,11,-4.638,0,0.208,0.00337,0.000299,0.133,0.404,125.93,audio_features,4UtLYpA3MVse7QeIx1aL1F,spotify:track:4UtLYpA3MVse7QeIx1aL1F,https://api.spotify.com/v1/tracks/4UtLYpA3MVse7QeIx1aL1F,https://api.spotify.com/v1/audio-analysis/4UtLYpA3MVse7QeIx1aL1F,228680,4
7,0.41,0.949,1,-2.75,1,0.0604,0.01,0.0,0.0543,0.65,172.893,audio_features,36uolkehFWep9q2cGJGqAB,spotify:track:36uolkehFWep9q2cGJGqAB,https://api.spotify.com/v1/tracks/36uolkehFWep9q2cGJGqAB,https://api.spotify.com/v1/audio-analysis/36uolkehFWep9q2cGJGqAB,162360,4
8,0.521,0.421,7,-9.503,1,0.0324,0.638,0.0,0.0874,0.562,153.082,audio_features,6fEonsnOM8IiqFDuiqukMc,spotify:track:6fEonsnOM8IiqFDuiqukMc,https://api.spotify.com/v1/tracks/6fEonsnOM8IiqFDuiqukMc,https://api.spotify.com/v1/audio-analysis/6fEonsnOM8IiqFDuiqukMc,221042,4
9,0.428,0.274,3,-7.363,1,0.0394,0.805,0.0,0.102,0.176,145.067,audio_features,62UQgDAEzQuKDwa0Lf8wt8,spotify:track:62UQgDAEzQuKDwa0Lf8wt8,https://api.spotify.com/v1/tracks/62UQgDAEzQuKDwa0Lf8wt8,https://api.spotify.com/v1/audio-analysis/62UQgDAEzQuKDwa0Lf8wt8,240173,4
